,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10427803993225097,0.05828043934951443,0.001068449020385742,4.223512283642337e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.47227342549923185,0.4660138248847926,0.38252688172043026,0.3811576354679804,0.40031928480204343,0.420857515806765,0.04048052252048011,337,0.4415932960762331,0.45522234458239397,0.44202625103569815,0.44326080227307973,0.46607290207166435,0.4496351192078139,0.009639662892343796
1,0.06068243980407715,0.013494178319806505,0.001047515869140625,4.161343427519117e-06,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.47025729646697384,0.41551459293394777,0.4232142857142859,0.40831280788177343,0.5030970625798211,0.44389693329313745,0.03642942315314364,317,0.44631108700041977,0.45255851023235893,0.44260668003374315,0.4367784115061674,0.423336075233772,0.4403181528012922,0.009918666182453144
2,0.08064193725585937,0.027370668239028704,0.00103912353515625,1.1594695310466998e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.6142857142857143,0.5029761904761905,0.4332949308755762,0.48236863711001643,0.4874201787994892,0.5044111429530994,0.06013944134694203,279,0.5020886677565299,0.5328663074722585,0.5005923191877624,0.538699029435088,0.5888932592229216,0.5326279166149119,0.03212982802077052
3,0.12441811561584473,0.05478008764772506,0.0010590553283691406,9.739625115727834e-06,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.6948732718894008,0.6601382488479263,0.3878840245775731,0.4748768472906404,0.6176245210727969,0.5675077989707092,0.1170517345884461,201,0.649408979475412,0.6916486741564414,0.41982226043770926,0.5907122199193606,0.6899161728865877,0.6083016613751022,0.10112500942761354
4,0.06610670089721679,0.014453806811939647,0.0010610580444335937,1.108541278573104e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5128072196620582,0.3570660522273426,0.5007872503840247,0.4511083743842365,0.5592911877394635,0.47573637331614954,0.0688995713961381,303,0.4555920524213483,0.40845957828895,0.5804521526249784,0.5530098165896788,0.5795718477314956,0.5154170895312903,0.07039538313749644
5,0.09093666076660156,0.028907659981540074,0.001064300537109375,1.0971400265218977e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.5896697388632872,0.5709485407066052,0.49180107526881744,0.4806034482758621,0.48518518518518516,0.5241733216809691,0.0468693099174799,244,0.5645065289916131,0.6013593936501813,0.6132068091987514,0.5246985466544702,0.5046696132471381,0.5616881783484308,0.042083886150455684
6,0.1357800006866455,0.04315100557138713,0.0010601043701171874,9.266603599371833e-06,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.695852534562212,0.5637480798771121,0.6829493087557605,0.7295977011494252,0.6524584929757343,0.6646472258350039,0.05649078549760757,99,0.6422508861475493,0.5918581907808712,0.7614427431043157,0.7757626603382419,0.7798066172690586,0.7102242195280073,0.07796310059096685
7,0.08033132553100586,0.02692321386485767,0.0010611534118652344,7.641901255632641e-06,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.5228878648233486,0.4654569892473119,0.566378648233487,0.5930623973727421,0.4637611749680715,0.5222720243533299,0.05202567056099421,251,0.5183344191212538,0.4900703106896746,0.6305461477036916,0.6811707143927198,0.5813000080080014,0.5802843199830683,0.07025909936020891
8,0.12318887710571289,0.04014712893408372,0.0011287212371826171,7.687620660388098e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.6126728110599078,0.5725614439324116,0.5490015360983105,0.47668308702791456,0.5888569604086846,0.5602003749737343,0.046408381758066546,204,0.6230152252974249,0.7012583420360832,0.6058223755848096,0.5445194168528364,0.7141825167692026,0.6377595753080714,0.06293435800849523
9,0.10681319236755371,0.022249237048584954,0.0010675907135009766,7.832912139275005e-06,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.5356182795698925,0.6857334869431644,0.5891129032258066,0.5567528735632183,0.5753192848020434,0.5887563694415058,0.0521202459651599,190,0.5662467919502701,0.7162209252278463,0.6664107146880139,0.6262995066944076,0.7189519850323176,0.6588259847185711,0.0576120160119187
