,0,1,2,3,4,5,6,7,8,9
2,0.32841524629132823,0.35663507107634235,0.4365208443127615,0.5252714542526177,0.6104015484791647,0.5943700509589019,0.5188754096850937,0.30101696275355266,0.6148189906276483,0.21861426107444942
3,0.4384272835346879,0.43661294771749176,0.4982707166094934,0.563167926708829,0.660177348496008,0.6785794105809098,0.6262219287961897,0.5783683640175451,0.7374059438887006,0.27970763197532283
4,0.5273095295571706,0.6960399136409338,0.4564454466985994,0.7545886730511248,0.7217464112064872,0.7175793126162654,0.6730336771853692,0.697166529471656,0.7858835086114485,0.3714033241699316
5,0.5640315795849173,0.7299590602860422,0.5269762890862574,0.8168531045301828,0.7304906061395199,0.7907372078203998,0.773221080710438,0.7152818545932411,0.784938183940932,0.5861051537725332
6,0.5848391695596354,0.7752759581224106,0.6797679576527319,0.8499108916417062,0.7511773547068767,0.7887125138832796,0.7415549199879296,0.7558435969869819,0.8200850445771466,0.5455204862931053
7,0.6605820424672402,0.8041962369265621,0.734038879150139,0.8458700535435129,0.8376474814959781,0.816314556908872,0.7804818198889534,0.744063930714883,0.8265997229093924,0.5962107528937284
8,0.7363839293820723,0.8063150486300538,0.757656728777021,0.8631578040370087,0.8096247036605302,0.8801352495102449,0.7835947470017743,0.7283663936789627,0.8461603972458892,0.572438823267146
9,0.7717099696709808,0.8172573921089319,0.805365396133125,0.8862306988813454,0.8309397056035687,0.8589463291367996,0.8380923083001055,0.8052490325955914,0.8548158757585631,0.6368063072845521
10,0.8521284265845352,0.8383202768189801,0.8044620695450242,0.8929557675520948,0.8546913497628614,0.8792149064050553,0.8333376519254144,0.7588926636006698,0.8749139515300658,0.7370191388988743
15,0.8713783865880278,0.8864665222922277,0.8864980730634013,0.9015758940497963,0.8954925335265975,0.884346987188184,0.8805513686893707,0.888853354151584,0.8805895655177012,0.8187227239587893
20,0.9069811817602181,0.9102236489473728,0.8844410943424306,0.9355670540949558,0.911490975918554,0.937312718829638,0.9067852862445414,0.9015215831903162,0.9065948367376866,0.8586057710847886
25,0.9232101405427694,0.9227755442406184,0.9392055567946797,0.9248136221412934,0.9402410817071545,0.9425176892485875,0.9035361371123244,0.9063200372303413,0.9369781991618791,0.9084270277957872
30,0.933933625472249,0.9377745347897717,0.9449606241007045,0.9438114304556751,0.9533352797863913,0.9519885193400099,0.9266746623302011,0.8947494278498359,0.9358311304616321,0.9437370215942184
35,0.946916359830256,0.9521167577183579,0.9422830526492383,0.9610814906585636,0.9525120515833294,0.9453324099489112,0.9452833479309865,0.9197568906089588,0.9455363020064906,0.9403101297564558
40,0.9606413378402973,0.9537156436135905,0.9548942670524923,0.9626351173635245,0.9504930135366338,0.9429930859566784,0.9521446718695614,0.9272441736469246,0.9482847586125239,0.9480001015372254
45,0.9534879331203607,0.9703629968934441,0.9463479981483439,0.963345681987736,0.9651845062802663,0.9548115251691107,0.9610155293223609,0.9390466934798091,0.9628443418295064,0.9658339192287573
50,0.956250404805321,0.96622080055603,0.9696632029607392,0.970651681927799,0.964270450453728,0.9641775019327442,0.9649895043120013,0.9560172110833474,0.9643274347120893,0.962665781409421
55,0.9661167889246878,0.9559610945250504,0.9657540185548081,0.9680824601433528,0.9653651002105407,0.9629988044879019,0.9663418055195966,0.9518998477026398,0.9667636627628637,0.9645805895431889
60,0.9671729415801187,0.9688154791885217,0.9616683267092657,0.9772045798866004,0.9679760021273889,0.9632231846399373,0.957484327889886,0.9723262809239792,0.9717950621909788,0.9772008427219713
