,0,1,2,3,4,5,6,7,8,9
2,0.9246408950444782,0.8169796585644931,0.8752886378717112,0.9469277657175109,0.9341974151956463,0.8673277083104813,0.8905380977366693,0.9113110217018505,0.8215600134983906,0.9168914867603408
3,0.7948535385028729,0.8395678813428816,0.8425809846678664,0.8956402699788768,0.8964001335385564,0.8436474402636013,0.8841344034694011,0.8444716438461329,0.8816665474525444,0.9025961041766457
4,0.8114211593014714,0.7222383416097309,0.7575035978314502,0.8537783257370853,0.7687328662084575,0.7369025440778038,0.6871623830612754,0.881166061089736,0.7748098497977642,0.8711691787040547
5,0.6927863555869409,0.7617652178814726,0.7468647676291519,0.780783873148752,0.7806624756729077,0.6857419279860535,0.7069946112730399,0.758358858242567,0.7243766745449575,0.6937237924930484
6,0.6259210516666959,0.716043671595835,0.6834406395372047,0.6998047842218927,0.6310496777219468,0.6594115028166869,0.8034454858542311,0.7335731401712443,0.720130557518368,0.6319305974076677
7,0.7367534915871501,0.6093521137468567,0.5062052859821031,0.5384456990791954,0.52601941199458,0.724151785644332,0.6884796367858825,0.5849876721908448,0.7372928158946035,0.6827517723488575
8,0.42779551340332483,0.5407074322700824,0.5413893499358329,0.6377626448005789,0.6547166699566529,0.3979161189735088,0.6640670677285458,0.5463848146818235,0.5404361208537791,0.5555119256146485
9,0.44662642161458177,0.4668044097273687,0.5435123884545525,0.5752198392460585,0.4784190812817598,0.5178742451623056,0.6607275110347287,0.5947380566309658,0.4074237120204867,0.45952965719814326
10,0.38047041251572816,0.5518249120602936,0.4526335310010363,0.4702631290399803,0.46809815206719757,0.34462253802937626,0.4693339859494291,0.511452154129198,0.33893738111285526,0.3644016309102539
15,0.12614937027321502,0.16105862728464637,0.15922977132627678,0.24348444824662754,0.1276957659684451,0.14963629056757963,0.10354418343332117,0.1913726840830582,0.19276512140436422,0.11110000769498822
20,7.45372391081956e-30,2.350855058513688e-30,1.0168795125558975e-29,1.3070300740851563e-29,2.570761717144818e-30,6.470718596752524e-30,4.934800764271132e-29,3.5655296680658525e-30,3.9424933078193535e-30,2.9682936316198007e-30
25,4.2104133203752794e-30,1.7897539683699324e-30,2.8769049687671038e-30,2.2526341567105037e-30,4.751343757353965e-30,1.208121970003291e-29,1.8159483151648644e-30,8.917192025163378e-31,9.998301141882571e-30,1.0517204993502759e-29
30,1.8571491127452075e-30,2.2829029613607115e-30,1.8649987558939834e-30,6.182816714633326e-30,2.1734558429782186e-30,1.5579131669671452e-29,1.8426743579341625e-30,1.675575020449519e-30,3.61913765895909e-30,1.681886456732672e-30
35,1.9805247536827612e-30,6.163032119685856e-30,1.6780359486999075e-30,1.6802702660108885e-30,2.1272076917203333e-30,1.620743887375914e-30,1.6798251366837165e-30,2.290291289431492e-30,1.2367445947147627e-30,2.6255465238227938e-30
40,2.32697294678861e-30,2.0718132164979437e-30,1.3932229595303066e-30,2.231351305822486e-30,1.783361354372975e-30,3.3012763417614546e-30,1.073466325433999e-29,1.2325916399104109e-30,2.5927033568259877e-30,3.867874122758305e-30
45,1.258297017191703e-30,1.3197011124069518e-30,1.168039718495138e-30,1.4717626362120046e-30,1.6278769079158134e-30,1.8022772987321033e-30,2.3523811826134172e-30,3.709167674356865e-30,1.4547534421673461e-30,1.2857062748809917e-29
50,2.412201220681236e-30,1.1857461640354033e-30,5.680577264960994e-30,2.0697670498927186e-30,1.1304913356191374e-30,5.862904085826494e-30,2.587945321173762e-30,2.9885749831198515e-30,1.3662446448152225e-30,2.2581970667190744e-30
55,1.609807580979407e-30,1.525607954403489e-29,3.249416402791251e-30,4.566579005666478e-30,1.8559246277842733e-30,1.5250429470909506e-30,1.6204075241538522e-30,1.0530558921202547e-30,2.2380022016698365e-30,3.522688595875625e-30
60,1.723024570334352e-30,1.875991473226342e-30,9.853009785396297e-31,2.366180551851281e-30,1.2642826497761314e-30,1.1076988644650729e-30,7.523241656857474e-30,3.1347047739742887e-30,2.7569193796188483e-30,1.0804336083092785e-30
