step,reward,mean,median,std,max,min
0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549
1,0.02564102564102564,0.02262443438914027,0.02262443438914027,0.0030165912518853692,0.02564102564102564,0.0196078431372549
2,0.013157894736842105,0.019468921171707548,0.0196078431372549,0.0050971635103672554,0.02564102564102564,0.013157894736842105
3,0.025,0.020851690878780662,0.02230392156862745,0.005022147257594283,0.02564102564102564,0.013157894736842105
4,0.024390243902439025,0.021559401483512337,0.024390243902439025,0.0047096695915709525,0.02564102564102564,0.013157894736842105
5,0.0,0.017966167902926947,0.021999043519846963,0.009112672177140974,0.02564102564102564,0.0
6,0.0,0.015399572488223098,0.0196078431372549,0.010521515848182889,0.02564102564102564,0.0
7,0.017543859649122806,0.01566760838333556,0.018575851393188854,0.0098674926634429,0.02564102564102564,0.0
8,0.01818181818181818,0.015946965027611407,0.01818181818181818,0.009336655250518262,0.02564102564102564,0.0
9,0.04,0.01835226852485027,0.01889483065953654,0.01142476180779243,0.04,0.0
10,0.0,0.016683880477136606,0.01818181818181818,0.012103488896710897,0.04,0.0
11,0.010309278350515464,0.01615266363325151,0.017862838915470493,0.011721376961385694,0.04,0.0
12,0.008333333333333333,0.015551176687103959,0.017543859649122806,0.011452667931323122,0.04,0.0
13,0.0,0.01444037835231082,0.015350877192982455,0.011740320362118554,0.04,0.0
14,0.005780346820809248,0.01386304291687738,0.013157894736842105,0.011546105011139623,0.04,0.0
15,0.014285714285714285,0.013889459877429686,0.013721804511278194,0.011179936268034776,0.04,0.0
16,0.0,0.013072432825816174,0.013157894736842105,0.011327801901287142,0.04,0.0
17,0.02564102564102564,0.0137706879822167,0.013721804511278194,0.0113788743613483,0.04,0.0
18,0.0,0.013045914930521084,0.013157894736842105,0.011494321928021778,0.04,0.0
19,0.022727272727272728,0.013529982820358666,0.013721804511278194,0.011400244623393683,0.04,0.0
20,0.05263157894736842,0.01539196358831151,0.014285714285714285,0.013896625059891619,0.05263157894736842,0.0
21,0.024390243902439025,0.015800976329862763,0.015914786967418545,0.013705885574636192,0.05263157894736842,0.0
22,0.01818181818181818,0.015904491192991258,0.017543859649122806,0.013413410780902038,0.05263157894736842,0.0
23,0.024390243902439025,0.01625806422255158,0.017862838915470493,0.013240024873510682,0.05263157894736842,0.0
24,0.012658227848101266,0.01611407076757357,0.017543859649122806,0.012991687614277462,0.05263157894736842,0.0
25,0.006896551724137931,0.015759550804364506,0.015914786967418545,0.012862129174557679,0.05263157894736842,0.0
26,0.019230769230769232,0.015888114449786904,0.017543859649122806,0.012638706896389915,0.05263157894736842,0.0
27,0.0,0.015320681790865943,0.015914786967418545,0.012756389673539384,0.05263157894736842,0.0
