params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.7316379999999967,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.5785270000000082,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.5797309999999953,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.0751279999999923,100,0.00012418276781474852,0.0,0.0,0.007633587786259542,0.0008923159490295588
"{""discount_factor"": 0.4}",1.0315039999999982,100,0.00023504273504273504,0.0,0.0,0.009615384615384616,0.0013554167957356917
"{""discount_factor"": 0.5}",1.101278999999991,100,0.003266917698598039,0.0,0.0,0.022727272727272728,0.006423126068844001
"{""discount_factor"": 0.6}",1.0122769999999974,100,0.007610547979047515,0.0,0.0,0.05555555555555555,0.010205996524260446
"{""discount_factor"": 0.7}",1.018369000000007,100,0.009526678397317799,0.008069239278974426,0.0,0.045454545454545456,0.01030737220680508
"{""discount_factor"": 0.8}",1.0867550000000108,100,0.010675342888636394,0.010702838827838828,0.0,0.05,0.01017074623989768
"{""discount_factor"": 0.9}",1.0712840000000057,100,0.012179191359715685,0.012743506493506494,0.0,0.045454545454545456,0.010089872212130736
