k,Adult sse (left)
2,988.0143338576486
3,775.0741769654549
4,597.2414741137525
5,513.632266954188
6,432.4472219584203
7,384.09862825248393
8,332.3741765580596
9,299.0633456451269
10,267.25427069074306
15,178.1901095261856
20,127.10093746439648
25,101.06581228604094
30,83.85791805444447
35,73.60705413071321
40,62.7018128191172
