k,Statlog Vehicle log-likelihood
2,-0.8271296364505979
3,-0.6742080342664776
4,-0.6486491733334773
5,-0.6440608818265333
6,-0.6402621569932341
7,0.9673048351206005
8,1.3972758686639883
9,2.086782030858504
10,2.6145914067981364
15,3.8176352720240763
20,3.839291943001521
25,3.839291943001521
30,3.839291943001521
35,3.839291943001521
40,3.839291943001521
