k,Adult BIC
2,3932.2862838885944
3,2015.9377189916936
4,1899.0540028963335
5,-1414.984244921173
6,-1409.7140385734754
7,-1505.8351856826457
8,-1435.1666259602478
9,-1488.941711844312
10,-1601.6960478850115
15,-2107.043260229996
20,-2128.2674317894957
25,-3886.4562315408166
30,-3755.652759401973
35,-4076.3345337701094
40,-3824.888163127598
