k,Statlog Vehicle BIC
2,714.9926688502215
3,606.451180163246
4,603.3660412321976
5,617.6445337859241
6,632.5767875454281
7,-680.411084003351
8,-1018.3495018558001
9,-1571.1830062313832
10,-1990.131571587923
15,-2895.8639023876212
20,-2823.407636349566
25,-2733.019646742186
30,-2642.631657134806
35,-2552.2436675274266
40,-2461.855677920047
