k,Adult log-likelihood
2,-3.892441409650618
3,-1.8737754720914879
4,-1.6912981557584197
5,1.753581743964594
6,1.811412200661889
7,1.9727032221110898
8,1.9638006651607314
9,2.081881420053702
10,2.2601450832697694
15,3.091846595412849
20,3.429545004713597
25,5.539656299924367
30,5.7222244605533366
35,6.3654918523118775
40,6.4249550144677166
