k,Statlog Vehicle sse (left)
2,111.56725979109429
3,45.683815695763656
4,23.204885234658406
5,13.625155923559788
6,8.476023648677444
7,6.462671094671276
8,4.9745538257218325
9,3.0735974743052723
10,1.887669135776987
15,0.02304728657895061
20,3.4416913763379853e-15
25,3.4416913763379853e-15
30,3.4416913763379853e-15
35,0.0
40,0.0
