,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.7958742618560791,0.1894031148392929,0.006187009811401367,0.01030733016486867,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.24999999999999994,0.25,0.24999999999999994,0.23809523809523808,0.27631578947368424,0.25279079340864236,0.012481004648073281,230,0.25974025974025977,0.2571046600458365,0.25581395348837205,0.24127906976744187,0.25059630292188434,0.2529068491927589,0.006531649860305784
1,0.6869785785675049,0.12934678024863516,0.012186288833618164,0.018375891789339873,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.3906926406926406,0.36904761904761907,0.36904761904761896,0.24999999999999994,0.38095238095238104,0.3522413576761403,0.051464065800977066,102,0.4089197124632985,0.38823529411764707,0.3353625170998632,0.25000000000000006,0.38529411764705884,0.35356232826557354,0.05714884069830016
2,0.7471858978271484,0.04548001548910045,0.0093475341796875,0.01636514442451791,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.35227272727272724,0.3255411255411256,0.3809523809523808,0.35714285714285715,0.38095238095238104,0.3591052868226781,0.02066021037506692,83,0.3902215431627196,0.36585179526356,0.3880361073886201,0.3467887650782019,0.38529411764705884,0.3752384657080321,0.016654629545425674
3,0.7266647815704346,0.08694895652597501,0.011559534072875976,0.01267957221084864,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.39285714285714274,0.3814935064935065,0.31578947368421045,0.38283208020050125,0.31441102756892236,0.357953073284881,0.03475951371921089,87,0.38568391211906444,0.3886250885896528,0.31790399522957663,0.35986881335718546,0.38995016611295685,0.36840639508168727,0.027549319138297005
4,0.8508357048034668,0.0779020946719792,0.011703157424926757,0.015148837300093781,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.3636363636363636,0.3576839826839827,0.39285714285714274,0.3928571428571428,0.3690476190476191,0.37506273919317396,0.01485252468692623,40,0.38441876750700277,0.3794117647058823,0.37978796169630646,0.37390560875513,0.37657318741450063,0.37881945801576444,0.0035166102867219442
5,1.102242612838745,0.37760247474247705,0.0012018203735351563,0.000138779471637923,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.288095238095238,0.3463203463203463,0.39285714285714274,0.3489974937343358,0.27631578947368424,0.330417061538343,0.04280564679340467,139,0.25164293537787513,0.40640928879766586,0.38940334631169105,0.40977326120223284,0.25641025641025644,0.34272781761994425,0.07276840440932962
6,0.9653271198272705,0.16919936122014073,0.019308710098266603,0.02250806634716606,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.4145021645021644,0.25,0.40476190476190466,0.3809523809523809,0.32321428571428584,0.3546898853964071,0.06152493696652669,95,0.39431549728325066,0.25000000000000006,0.4056732771346355,0.4082821024178795,0.41613331379063256,0.37488083812527967,0.06283074917978988
7,0.8552721500396728,0.10542495123275265,0.012129545211791992,0.009350170763159733,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.24999999999999994,0.46893939393939393,0.3809523809523808,0.3953634085213033,0.3779761904761906,0.3741905199428083,0.0713355436719689,44,0.25,0.41228197741309014,0.4137013168954889,0.39487646471395427,0.3855897009966778,0.3712898920038422,0.061564809557544405
8,1.0908929347991942,0.06886643289290256,0.009458398818969727,0.014569576905246772,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.3906926406926406,0.48084415584415585,0.4166666666666666,0.35964912280701755,0.3889411027568923,0.40763745799500944,0.04107303291008119,5,0.41179001721170394,0.4211101088847368,0.4046297364560843,0.4454912462646546,0.44392178159278023,0.42538857808199193,0.01662379356524158
9,1.1660927772521972,0.25699757977677773,0.014324140548706055,0.016835867804552356,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.34659090909090906,0.3300865800865801,0.29761904761904756,0.38596491228070173,0.40144110275689227,0.3520727392151877,0.037362103692118225,105,0.38027606990222157,0.3374202693125443,0.3681758603391785,0.44626102008792823,0.44435836051773125,0.3952983160319208,0.04316306046444403
10,0.9487358570098877,0.10400813149091885,0.009990501403808593,0.011093786833312172,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.39069264069264065,0.4063852813852814,0.3884711779448621,0.369047619047619,0.2468671679197996,0.36100971026600315,0.0575315387068726,79,0.40041384023488913,0.4052799433026223,0.3757121509292986,0.3827402633790978,0.30256848714441054,0.37334293699806365,0.03702904763454195
