k,Statlog Vehicle log-likelihood
2,9.735633644949996
3,9.960288283005735
4,10.36871329703467
5,10.559344226302198
6,10.623303592382708
7,10.688676438234342
8,10.804660278315732
9,10.848308981479196
10,10.970860574286359
15,11.314242528148872
20,11.49833379359073
25,11.752266780889173
30,11.98522046194647
35,12.233283074092936
40,12.457711719019036
