k,Statlog Vehicle BIC
2,-7814.044153091759
3,-7873.515007951579
4,-8085.147734117206
5,-8116.446958100388
6,-8042.862127764719
7,-7970.447658679539
8,-7939.939092816598
9,-7849.537033585615
10,-7824.466566979615
15,-7476.070897526119
20,-6995.782538060317
25,-6573.32312429177
30,-6133.492844955554
35,-5706.172760561171
40,-5259.283751308322
