k,Adult BIC
2,-5668.146821288178
3,-5731.87848779271
4,-5775.7172153545935
5,-5759.255098307522
6,-5706.479674066921
7,-5657.958621933686
8,-5617.38117828658
9,-5604.053196118235
10,-5585.991023897121
15,-5464.94987000138
20,-5185.466202079158
25,-5069.838494507208
30,-4780.906595662595
35,-4591.308353392171
40,-4375.691169893037
