,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.46706328392028806,0.02686040387972916,0.0010057926177978516,6.248688519471085e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.25,0.24999999999999994,0.23809523809523808,0.263157894736842,0.25000000000000006,0.250248205053697,0.007893078713496768,204,0.25,0.25,0.2529411764705883,0.2564102564102564,0.25290697674418605,0.2524516819250061,0.0023722857652738473
1,0.47526865005493163,0.06479386168769398,0.007179737091064453,0.007538714755287907,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.25,0.24999999999999994,0.23809523809523808,0.24999999999999994,0.25000000000000006,0.24764205198987807,0.0047445643452134435,269,0.25,0.27165131112686036,0.25,0.24709302325581398,0.25,0.25374886687653486,0.009021748976927303
2,0.5060264587402343,0.053306307268859814,0.0039271354675292965,0.005814288505083956,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.25,0.24999999999999994,0.25,0.24999999999999994,0.261904761904762,0.25232919254658387,0.004722641716070084,201,0.2564935064935065,0.25000000000000006,0.25,0.25290697674418605,0.33943228454172364,0.26976655355588325,0.03491465726979506
3,0.8645156860351563,0.28922253340945414,0.005191421508789063,0.005939436204824353,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.3279220779220779,0.24999999999999994,0.369047619047619,0.33333333333333326,0.3452380952380953,0.3247171508041073,0.04026359176312574,26,0.3581856839121191,0.25,0.35904799879302546,0.336532724605673,0.3627564979480164,0.33330458105176686,0.04265977585601449
4,0.5902520656585694,0.0896751568901766,0.012535858154296874,0.006650965110750565,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.25,0.24999999999999994,0.25,0.29761904761904756,0.25000000000000006,0.25943179204048766,0.018978257380853753,166,0.25,0.25,0.24999999999999994,0.3492223022364106,0.25,0.26984446044728216,0.039688920894564245
5,0.6515098094940186,0.13349572287758918,0.0034334659576416016,0.004917448120844524,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.40346320346320347,0.28571428571428564,0.2738095238095238,0.32142857142857134,0.25000000000000006,0.30761810653114996,0.0538249600302848,38,0.3594250186383425,0.2529411764705882,0.30500806762776667,0.3305745554035568,0.25,0.29958976362805084,0.04290666247152013
6,0.6146327018737793,0.06271100096372288,0.0009376049041748047,7.555192479492235e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.25,0.24999999999999994,0.25,0.24999999999999992,0.25000000000000006,0.25,5.1003931479168787e-17,205,0.25,0.25,0.24999999999999994,0.24999999999999994,0.25,0.25,3.510833468576701e-17
7,0.8258627414703369,0.15493760296839182,0.008135080337524414,0.005692834512883815,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.25,0.3014069264069264,0.2587719298245614,0.3095238095238095,0.2763157894736843,0.27910630771042666,0.02327060988882078,99,0.25,0.3339208629782691,0.24560226595110318,0.3645979265900812,0.2756410256410256,0.2939524162320958,0.04731410745064229
8,0.7212012767791748,0.11302458683417499,0.009202527999877929,0.011658043506656933,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.25,0.33154761904761904,0.35714285714285715,0.36654135338345856,0.20921052631578954,0.3028699466056445,0.06199546099383067,47,0.25,0.3746283836645282,0.2966481309854803,0.3896354649366698,0.2651098901098901,0.31520437393931366,0.05687987707862072
9,0.8668213844299316,0.13845818552976255,0.0040986061096191405,0.004926156839133425,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.3522727272727273,0.27543290043290036,0.33333333333333326,0.22619047619047614,0.4098684210526316,0.31922666652357723,0.06304481834859206,31,0.3542366946778711,0.3264705882352941,0.3483307110373515,0.33061205148913025,0.38667582417582413,0.3492651739230942,0.021413444865537163
10,0.7741241455078125,0.11015830915358477,0.009875679016113281,0.007801375555389269,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.25,0.2738095238095238,0.3333333333333333,0.3345864661654135,0.2529761904761905,0.28867269320644606,0.03760047303525055,79,0.25,0.2892937678905078,0.3165430215019818,0.31437879266196633,0.2861987818383167,0.2912828727785545,0.02410633415758282
11,0.7304872512817383,0.04651167412494425,0.004137897491455078,0.00628442175806271,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.25,0.26190476190476186,0.23809523809523808,0.32142857142857134,0.25000000000000006,0.26420519898780764,0.02942087255834327,138,0.25,0.25,0.2532051282051282,0.34491914833912096,0.2802667578659371,0.27567820688203726,0.036439381598943464
12,0.7922106742858886,0.012383110392120013,0.005127954483032227,0.008256668986663064,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.25,0.25,0.25,0.24999999999999994,0.2593984962406015,0.25183883622098724,0.003728401354792153,203,0.25,0.25,0.25,0.25,0.25663387000596305,0.25132677400119263,0.0026535480023852196
13,1.2051869869232177,0.15948274663813522,0.0011220455169677734,5.1377162538768556e-05,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.34794372294372294,0.28192640692640686,0.369047619047619,0.36904761904761896,0.28571428571428575,0.33073357801618675,0.03901529121487775,16,0.3593550673281361,0.3362863217576187,0.3634895997755095,0.3887165625566562,0.2699726402188783,0.34356403832735977,0.04038265487615951
14,1.2695735454559327,0.2659266114568317,0.0010014057159423828,9.364132434872334e-05,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.2767857142857143,0.3553571428571428,0.33646616541353375,0.33395989974937335,0.34642857142857153,0.32949864092598646,0.027853236622391735,18,0.3230006350842637,0.3910798273307132,0.33556497905755395,0.47986429565468014,0.36865432219399386,0.37963281186424097,0.05558253156609398
15,0.2540255069732666,0.08596771807079608,0.014054679870605468,0.016258743627309634,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.25,0.24999999999999994,0.25,0.2857142857142856,0.25000000000000006,0.25707384403036576,0.014233693035640281,172,0.25,0.25,0.24999999999999994,0.32144322845417234,0.24705882352941175,0.2637004103967168,0.028893871965501174
16,0.3389338493347168,0.05134323338988525,0.013129186630249024,0.010149357267631567,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.25,0.25,0.25,0.24999999999999994,0.30952380952380953,0.26164596273291924,0.023613208580350244,158,0.25,0.25,0.25,0.25,0.32175102599179206,0.26435020519835845,0.028700410396716825
17,0.35506882667541506,0.0595336536125683,0.004841518402099609,0.007627023206785233,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.2613636363636364,0.24999999999999994,0.29761904761904756,0.26190476190476186,0.25000000000000006,0.26412285379676687,0.01744309091860517,140,0.22366946778711486,0.2529411764705883,0.308279630148501,0.2560533515731874,0.25290697674418605,0.25877012054471554,0.02741890312578764
18,0.4083968162536621,0.092740271346394,0.00959634780883789,0.00897890705642381,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.1590909090909091,0.2363636363636364,0.16102756892230577,0.17167919799498743,0.29887218045112784,0.20499486529234812,0.05439934062324851,297,0.20198624904507254,0.24491978609625664,0.21824686940966012,0.20833333333333334,0.2944157985197657,0.2335804072808177,0.03376462438795126
19,0.4001018524169922,0.057672302519118424,0.0029344081878662108,0.00408102762182393,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.25,0.24999999999999994,0.25,0.24999999999999992,0.25000000000000006,0.25,5.1003931479168787e-17,205,0.25,0.25,0.24999999999999994,0.24999999999999994,0.25,0.25,3.510833468576701e-17
20,0.4411000728607178,0.04203513071681437,0.0009305477142333984,0.00012270392323747225,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.25,0.24999999999999994,0.25,0.24999999999999992,0.25000000000000006,0.25,5.1003931479168787e-17,205,0.2564935064935065,0.25,0.2564102564102564,0.24999999999999994,0.25,0.2525807525807526,0.0031608731202355782
21,0.5008362293243408,0.06237266095944282,0.012279272079467773,0.01296384392511082,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.26948051948051943,0.2705627705627705,0.29761904761904756,0.2738095238095237,0.23630952380952386,0.26964089654307044,0.0193914448328066,121,0.2901058013566873,0.2722537207654146,0.24394046775336645,0.333592784269774,0.2644974268777278,0.280878040204594,0.03023601645415782
22,0.42274765968322753,0.06329144039609627,0.0009039402008056641,7.765020439483236e-05,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.25,0.24999999999999994,0.25,0.24999999999999992,0.25000000000000006,0.25,5.1003931479168787e-17,205,0.25,0.25,0.24999999999999994,0.24999999999999994,0.25,0.25,3.510833468576701e-17
23,0.48062686920166015,0.10027858089109525,0.01029062271118164,0.00855906937435465,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.24464285714285716,0.275595238095238,0.3070175438596491,0.2963659147869674,0.3928571428571429,0.30252056772365693,0.049427009359450255,49,0.27297175715850414,0.2363254392666157,0.2941553544494721,0.30020625488378855,0.3598837209302325,0.29270850533772264,0.04034701619395561
