k,Adult log-likelihood
2,5.903918901754253
3,6.032159432790557
4,6.140101046538445
5,6.1865111861955615
6,6.195866930757242
7,6.2095638713468455
8,6.231366534881478
9,6.280974771353624
10,6.325752201649473
15,6.518281911506098
20,6.549135586641825
25,6.747189221318645
30,6.768401844492746
35,6.890975341722144
40,6.986998898922246
