k,Statlog Vehicle sse (left)
2,2.9515647697445035
3,2.4152427382505777
4,1.9620407407425167
5,1.6610906664658467
6,1.4076147232951042
7,1.2826393760571215
8,1.1606275077087616
9,1.0697348734559455
10,1.0096986121519933
15,0.7764189175838113
20,0.6700093900554361
25,0.5857867729687545
30,0.5166804573657213
35,0.4739299301797385
40,0.43296362695165325
