k,Adult sse (left)
2,1.4280594763932728
3,1.0418377796802836
4,0.8502999517364369
5,0.7109893138940604
6,0.6437444237510406
7,0.582336937246781
8,0.5435620608797028
9,0.48559855794328594
10,0.4491646080411051
15,0.3234052893776416
20,0.2601278133911259
25,0.21366920326076405
30,0.18175831873682152
35,0.1621452008437046
40,0.14261059336893478
