k,Statlog Vehicle log-likelihood
2,-5.463504368066169
3,-5.197602702204839
4,-5.011130588996199
5,-4.9282504214334955
6,-4.823255451306579
7,-4.822390475385264
8,-4.695896411646768
9,-4.660588490320927
10,-4.609732081291404
15,-4.443607775118362
20,-4.345160777837352
25,-4.223700494357499
30,-4.042435429898957
35,-3.986310067605312
40,-3.7449892639988893
