k,Adult log-likelihood
2,-4.7846150853160925
3,-4.623424908748262
4,-4.5195651009629785
5,-4.492666738035386
6,-4.462983495833992
7,-4.441534673905303
8,-4.444359309144818
9,-4.410780415562684
10,-4.3982737091067285
15,-4.250807409134785
20,-4.100953684383736
25,-3.934035535719533
30,-3.832230646123957
35,-3.785841671991655
40,-3.58901021338892
