k,Statlog Vehicle sse (left)
2,2718.999201532977
3,1917.193585828023
4,1518.2358748652796
5,1231.8621624497837
6,1006.021707796534
7,815.2792146999916
8,714.7948210630481
9,623.6200110953448
10,559.8426069640325
15,390.06870966387123
20,301.6919845863217
25,248.65782708627856
30,204.85310747234502
35,175.28334934572226
40,156.76787962269464
