k,Adult BIC
2,4806.61648604076
3,4710.594166915333
4,4670.755609196801
5,4706.339267438807
6,4739.193743992488
7,4780.1179524134195
8,4844.830148859191
9,4873.866887059747
10,4923.554368643957
15,5088.757664226685
20,5251.62128352589
25,5397.761767390206
30,5607.713245141775
35,5871.972320047353
40,5988.797760171905
