k,Statlog Vehicle BIC
2,4638.273070261469
3,4478.365150666541
4,4384.22490066804
5,4375.858781664375
6,4349.181606137541
7,4408.724065812946
8,4364.245640775724
9,4395.269341656181
10,4413.418894717989
15,4577.161267897975
20,4796.940452840565
25,4997.664636810512
30,5148.870462130105
35,5403.691960842232
40,5505.17163414738
