,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3145161151885986,0.022230292306795355,0.0011512279510498048,1.2401983570797405e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
1,0.5177952289581299,0.06011317921378384,0.003921794891357422,0.0055523388009494235,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
2,0.48817620277404783,0.07052274685114145,0.006943130493164062,0.007134497757568366,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5160606060606061,0.5031793444650587,0.006399528713645857,111,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5055555555555556,0.4933993399339935,0.4997909790979099,0.003852647457276246
3,0.46024093627929685,0.059141127847512014,0.0018652915954589845,0.0014686032120733974,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
4,0.5351263046264648,0.059303282004525004,0.004001474380493164,0.005492701909621598,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5151601830663616,0.4934210526315788,0.49999999999999994,0.5,0.4866666666666667,0.49909430408318933,0.009463222145915256,281,0.5293920678621923,0.5000000000000001,0.49834437086092737,0.49174917491749187,0.49504950495049516,0.5029070237182214,0.013542262309877715
5,0.5656068801879883,0.12341272089806676,0.0025870800018310547,0.002635464591450702,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
6,0.8339096546173096,0.11727335442646866,0.009103059768676758,0.006655607654774129,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.49999999999999994,0.49999999999999983,0.4802631578947368,0.5,0.46666666666666673,0.489453992123165,0.013661806382957886,297,0.5000000000000001,0.5112359550561799,0.5095658572479767,0.5111111111111112,0.5762926292629263,0.5216411105356389,0.02764086125578671
7,0.8057848453521729,0.18022975810102426,0.008079290390014648,0.006521230705927595,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.49999999999999994,0.49999999999999983,0.5191387559808611,0.5,0.5,0.5038277511961722,0.007655502392344471,104,0.5000000000000001,0.5000000000000001,0.6095658572479766,0.5000000000000001,0.5000000000000001,0.5219131714495954,0.0438263428991906
8,0.6754936218261719,0.1712856623659086,0.0018216609954833985,0.000776007853161248,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
9,1.0262372016906738,0.14466558690129377,0.004894161224365234,0.006501942003444598,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.49999999999999994,0.5732265446224255,0.4934210526315788,0.5,0.5,0.5134789613786017,0.030171884152502652,76,0.5000000000000001,0.47765830790981484,0.5339220014716706,0.5000000000000001,0.5000000000000001,0.5023160618762972,0.0180168403235555
10,1.5795586109161377,0.23038094473392823,0.013369083404541016,0.009967746494483808,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,0.5,0.49999999999999994,6.091274903418105e-17,133,0.5000000000000001,0.5000000000000001,0.5000000000000003,0.5000000000000001,0.5000000000000001,0.5000000000000001,9.930136612989092e-17
