k,Adult sse (left)
2,1550.340020814811
3,1179.658217299324
4,987.6445549970038
5,862.6217403162207
6,761.8528045265398
7,686.4690723643073
8,638.7667746740541
9,594.0896127989076
10,554.8984122097194
15,415.47146946270294
20,327.5583533123832
25,270.48364027844127
30,227.64116943044712
35,201.59904746060397
40,179.2480197197818
