,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.054484081268310544,0.00887647604882023,0.000815725326538086,1.0264300573023765e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.45979262672811055,0.5088325652841782,0.37273425499231966,0.4824302134646963,0.5386334610472542,0.47215577000407366,0.05636847763033878,271,0.4915671738621294,0.48365917883650067,0.39021506224201424,0.47709862984929424,0.47313987570238014,0.46313598409846374,0.0369919673486379
1,0.0717203140258789,0.020059062099091994,0.0008270263671875,9.424502776016576e-06,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.45119047619047614,0.500768049155146,0.48195084485407097,0.47912561576354684,0.5177522349936142,0.48598670588294485,0.022360965572474068,262,0.4945593977711484,0.4581515179029639,0.5350597888802946,0.519715215586867,0.46266223902595827,0.49402963183344645,0.030379782891718304
2,0.07010321617126465,0.01783981651943305,0.0008312702178955078,7.9198044235808e-06,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.43506144393241164,0.5276113671274961,0.4476766513056838,0.4849958949096881,0.5388250319284802,0.48655824702821365,0.04145885919509706,258,0.540535081603939,0.5146368752610384,0.44397186155313423,0.4286577026392865,0.5018052827888453,0.4859213607692487,0.04265776665876983
3,0.08669371604919433,0.009319398656197953,0.0008443355560302735,7.42182906114641e-06,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.45399385560675876,0.5568932411674347,0.4555491551459296,0.4782019704433497,0.49026181353767556,0.4870554087626877,0.03777902472499855,256,0.527303612286183,0.5166411169814892,0.5397429591302889,0.5438424145823539,0.5159829450572713,0.5287026096075172,0.011491994399621576
4,0.11043524742126465,0.02849997661861994,0.0008587837219238281,5.447663672853354e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.5649385560675884,0.5392857142857143,0.5153417818740401,0.5669129720853859,0.615485312899106,0.560063679925158,0.033249003770595385,193,0.6729619144241893,0.6354806384991536,0.5434332985388834,0.6208979917761112,0.6400562149089944,0.6225660116294665,0.04307484274549432
5,0.12389235496520996,0.01808853831012116,0.0008432388305664063,6.066148335948658e-06,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.5456221198156681,0.5980030721966206,0.6684907834101385,0.6410098522167488,0.6607918263090676,0.6223571466697511,0.04582392323959726,120,0.6628203247624046,0.6065258750284892,0.6830529125958412,0.7208617839865341,0.6617718458834954,0.6670065484513529,0.03704243683733106
6,0.11781268119812012,0.025884574381286784,0.0008503913879394532,9.595451846264582e-06,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.6316628264208908,0.7058563748079878,0.5766513056835639,0.6427545155993432,0.5926883780332056,0.6301992224675415,0.04521006652865394,106,0.7372382086917689,0.7245263442849893,0.5951061856521708,0.7096286816486972,0.6504460715713715,0.6833890983697997,0.05321584558598133
7,0.11986875534057617,0.03555507946451553,0.0008352756500244141,5.848986511113586e-06,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.5985983102918585,0.6258064516129032,0.6173579109062982,0.6085385878489327,0.7601532567049808,0.6415049922002091,0.05927505956423531,99,0.7385742465752064,0.6349151511096748,0.747346923194381,0.6952417836711179,0.7839513004322081,0.7200058809965177,0.05105884112385059
8,0.12071819305419922,0.05453859223397008,0.0008456707000732422,1.2140165419890416e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.6564516129032256,0.6624615975422427,0.5150729646697392,0.4023193760262726,0.6842273307790548,0.5844679145516882,0.10843703202868145,158,0.7681995179627097,0.6936301129858683,0.5069056970279533,0.4815661289424725,0.7963497024159524,0.6493302318669912,0.1312529266102163
9,0.17830228805541992,0.020718725805860642,0.0008378028869628906,6.822271715728537e-06,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.69644777265745,0.7618279569892474,0.6927419354838711,0.6936165845648604,0.7197637292464879,0.7129647143021378,0.02654288617640021,27,0.8004799297424774,0.7670526577041011,0.7525567036889628,0.7963059155170547,0.7759078791452607,0.7784606171595714,0.017949794112977764
10,0.11391944885253906,0.03085245958643052,0.0008388042449951171,6.371443793492543e-06,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.7126344086021504,0.6150537634408603,0.6909562211981569,0.6844417077175698,0.7021711366538953,0.6808748355110633,0.034561023009302055,60,0.7908297529846445,0.6912246976090466,0.7088959270468024,0.7771619605621299,0.706508555541369,0.7349241787487986,0.040752976882585855
