,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.8942134380340576,0.43090549041884746,0.005403327941894531,4.592177027524982e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6867773035894634,0.6984346522715514,0.6782636234407967,0.6703401876243723,0.6916011086462818,0.6850834500408017,0.00987395845719631,212,0.695345987712911,0.6920509849404629,0.6702101877811502,0.68427164289094,0.6926325398789732,0.6869022686408874,0.00912345806179977
1,2.1483031272888184,0.6915078382669021,0.006003427505493164,5.766603710739825e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.6730095274484511,0.6826036833011506,0.6915040558626464,0.652809101150805,0.6756813116170743,0.6751224657147077,0.01286069717293771,228,0.682029879719755,0.669783626325024,0.6764705959777507,0.6726127959389986,0.6823122120074893,0.6766418219938035,0.004989623354435276
2,2.1851029872894285,0.8328981387564851,0.0062199592590332035,5.5487251750850336e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.686544946052527,0.7133240863980581,0.7015442434538594,0.6724120050117398,0.6995713480274632,0.6946798734930248,0.014004981903068424,192,0.6983213963910827,0.6951114377305169,0.6874704899893257,0.6900954193785851,0.6952194641258654,0.6932436415230752,0.003909391600556186
3,2.3064856052398683,0.7714219883049379,0.006278324127197266,5.0202234893427705e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.6951311228053002,0.7198750953244821,0.7106423699100409,0.690788296113796,0.710188058867853,0.705325199667473,0.010759919972887916,178,0.7059685468078745,0.7076411632718287,0.6929641273768299,0.7132091060611012,0.7170097049832976,0.7073585297001863,0.00820469597881144
4,2.9452836513519287,0.9219746160998303,0.006491851806640625,3.78980262100717e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.6970784000117889,0.719055528451562,0.7228275886024286,0.7287590679848807,0.7206485369979081,0.7176730770128747,0.010811285892220343,155,0.7104758847376372,0.7193748979725674,0.7143571390706667,0.7497538562925455,0.7281590999613544,0.7244241756069543,0.013978108820539702
5,2.3295960426330566,0.6751631161745496,0.006512641906738281,5.106478492516308e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7095272905637577,0.738137266201741,0.7551744944578911,0.7182333617612686,0.7233051517275174,0.7288764686669705,0.016100848714461505,145,0.7246310979252429,0.7402074724241711,0.747753068424133,0.7346838500065795,0.727375955073596,0.7349302887707446,0.008431777595451237
6,2.607019329071045,1.2642439333773254,0.006664466857910156,0.0001381195189868085,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.7395066757399259,0.7411084428150471,0.780163455501295,0.7184836855238637,0.7558001064384737,0.7470129537899447,0.020402734830030463,88,0.7518675647482828,0.7420445831869451,0.7657334074890347,0.7383802295492117,0.7573198733862585,0.7510691316719467,0.00997197036733014
7,1.7119338512420654,0.41866067843018595,0.006685113906860352,7.618547716064395e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.7543422965976857,0.7584878918829592,0.7460390013309903,0.7140660370405468,0.7538879023716809,0.7453652511534664,0.016158257538547854,95,0.7623273324009906,0.752251497205785,0.7379621038567447,0.7299906145655644,0.7595834917255136,0.7484230079509195,0.012503820271024795
8,2.739078712463379,1.1363136075011744,0.006723880767822266,0.00013644801722152548,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.7577716096456534,0.7485042805889619,0.7545246564766177,0.7357526032618424,0.7269288021456309,0.7446983419402259,0.01164188861572962,97,0.7792061042488461,0.7437230074612099,0.7435368942877503,0.7548355699821597,0.7348407581271472,0.7512284668214226,0.015361045496511896
9,2.567548370361328,1.4551159888873382,0.006723213195800781,8.718552460886019e-05,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.7558874873755914,0.7478165496458323,0.7739359840512734,0.7246270149615172,0.7477845516674483,0.7500116265449974,0.01588130852894998,75,0.7732326644019167,0.7455101924438513,0.7613541375350685,0.7428357979345858,0.7528425146191214,0.7551550613869088,0.011093817173079858
10,1.965103816986084,0.6593966631429574,0.006849098205566406,9.173972683290277e-05,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.7573541292013164,0.7621182481452183,0.7727489343920206,0.7536735209577057,0.7451162128980245,0.7582035561125654,0.009158489996222338,33,0.7684298438396622,0.7699091408386101,0.7582937752349769,0.7714514197861224,0.753857573291006,0.7643883505980755,0.0069962969977623
