iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0984266070566,0.0987374148996,0.0981683730714,0.862929980793,0.857891061453,0.867318435754,0.0125786163522,0,0.0041928721174,0.035846324
10,0.09730276699,0.0976188542568,0.0969859408857,0.864850707177,0.859287709497,0.869832402235,0.0140127388535,0,0,0.342450367
20,0.0913423361775,0.0915392302459,0.0911306214077,0.869128688668,0.865223463687,0.873184357542,0.0131665569454,0,0,0.595483524
30,0.0875150506678,0.0876812807349,0.0872411588221,0.874454339096,0.873603351955,0.878212290503,0.0244233378562,0.0109289617486,0.018018018018,0.866515503
40,0.0824360585615,0.0824264934363,0.0821803634917,0.885978697398,0.885125698324,0.888268156425,0.0993103448276,0.08356545961,0.118942731278,1.235831196
50,0.0755928049163,0.0753147599472,0.0754897413827,0.924655142308,0.92562849162,0.926815642458,0.522940851299,0.531868131868,0.540350877193,1.554947854
60,0.0739343711197,0.0736820702094,0.0738531176812,0.941941679763,0.946927374302,0.943854748603,0.670302429351,0.705426356589,0.682464454976,1.941949375
70,0.0731063119723,0.0729035616053,0.0730756821466,0.947878470403,0.950069832402,0.949441340782,0.71692745377,0.731707317073,0.723664122137,2.427983841
80,0.0702035836591,0.0699898689721,0.0701821700589,0.950323031255,0.95530726257,0.951955307263,0.72735984667,0.75572519084,0.732919254658,2.750460468
90,0.0679744145035,0.0678378448566,0.0680006406222,0.951021477213,0.954608938547,0.952234636872,0.735751295337,0.753787878788,0.738131699847,3.020791576
100,0.0669598154041,0.0667733856104,0.0669617160842,0.95521215296,0.959846368715,0.955027932961,0.754897276636,0.778420038536,0.752688172043,3.368781212
110,0.0646027004562,0.0643339094133,0.0646091560009,0.960974332111,0.964734636872,0.961452513966,0.779259259259,0.8,0.78025477707,3.670240676
120,0.0606871307203,0.0604102550838,0.060641158984,0.965514230836,0.968575418994,0.964245810056,0.797953964194,0.815573770492,0.788778877888,3.971936783
130,0.0593782031017,0.0590892967275,0.0592786134676,0.964903090623,0.968575418994,0.964525139665,0.793846153846,0.814814814815,0.790774299835,4.303273319
140,0.0579165761993,0.0575987407451,0.0578441011584,0.966474594028,0.97032122905,0.966201117318,0.798530954879,0.82180293501,0.796638655462,4.640563523
150,0.0520952542128,0.0519254669231,0.0522056223783,0.961934695303,0.96438547486,0.962011173184,0.762268266085,0.776315789474,0.763066202091,5.094992502
160,0.0498337612536,0.0496830652083,0.0499555713758,0.964379256155,0.966829608939,0.963966480447,0.772067039106,0.787472035794,0.770053475936,5.585100391
170,0.0469449010894,0.0467369181607,0.0469109826155,0.966998428497,0.967877094972,0.967597765363,0.787162162162,0.793721973094,0.790613718412,5.981413924
180,0.0445595736284,0.044369975539,0.0445445353744,0.968482626157,0.97032122905,0.967877094972,0.800662617338,0.813186813187,0.79427549195,6.272766121
190,0.0389043760944,0.0385960917195,0.0388646591226,0.969268377859,0.972067039106,0.969553072626,0.80701754386,0.82683982684,0.807079646018,6.504363267
