iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0960496604462,0.096043375274,0.0958295384328,0.881700715907,0.881634078212,0.882122905028,0.0216606498195,0.0116618075802,0.0276497695853,0.314987472
10,0.129876912962,0.129559787268,0.12950250865,0.319451719923,0.323324022346,0.310893854749,0.209030948757,0.211554109032,0.207007393121,3.823279792
20,0.0903903362528,0.0897208385145,0.0901573950125,0.908416273791,0.908519553073,0.908379888268,0,0,0,7.100552395
30,0.0437791355959,0.043490429081,0.0436169495874,0.908416273791,0.908519553073,0.908379888268,0,0,0,10.310152772
40,0.0368683825096,0.0366575986236,0.0366127873612,0.918718351668,0.917248603352,0.920111731844,0.227385892116,0.196610169492,0.239361702128,13.559985606
50,0.0324452327086,0.0321947120825,0.0324101658901,0.925528199756,0.92562849162,0.924860335196,0.314859437751,0.315112540193,0.304909560724,16.850630387
60,0.0302012160074,0.0298993155537,0.0300928162638,0.940981316571,0.937150837989,0.938826815642,0.532503457815,0.491525423729,0.507865168539,20.108934518
70,0.02940571721,0.0289074387407,0.0291491170277,0.93504452593,0.935405027933,0.932960893855,0.453744493392,0.454277286136,0.428571428571,23.47512284
80,0.0315606522817,0.031417808624,0.0314906293104,0.941505151039,0.940293296089,0.940223463687,0.53729281768,0.523676880223,0.526548672566,26.829708134
90,0.0305415018003,0.0302058949318,0.0304388960232,0.941417845294,0.939245810056,0.93938547486,0.540095956134,0.516666666667,0.514541387025,29.894153883
100,0.0293041839052,0.0289819961952,0.0291531806288,0.945259298062,0.943784916201,0.943016759777,0.581721147432,0.566037735849,0.560344827586,33.189906581
110,0.0312316740324,0.0308511419506,0.0311972789038,0.942378208486,0.939944134078,0.940223463687,0.548563611491,0.522222222222,0.524444444444,36.370146699
120,0.0293187349806,0.0288784027029,0.0291645554505,0.941417845294,0.939944134078,0.939664804469,0.545084745763,0.530054644809,0.52422907489,39.776158205
130,0.0248937297097,0.0244849690713,0.0247219890143,0.940719399336,0.938198324022,0.938826815642,0.531400966184,0.504201680672,0.512249443207,42.819793069
140,0.0311359517365,0.0309518701218,0.0310182438557,0.924044002095,0.923184357542,0.923463687151,0.377682403433,0.367816091954,0.377272727273,46.058288706
150,0.0230594869979,0.022621622574,0.0228450781613,0.948838833595,0.945181564246,0.94748603352,0.628172588832,0.594315245478,0.611570247934,49.291901527
160,0.0233355994715,0.0228465946031,0.0232502179255,0.946743495722,0.944832402235,0.94469273743,0.60182767624,0.584210526316,0.576923076923,52.486342525
170,0.0221756624095,0.0217141376362,0.0221018274633,0.950497642745,0.946927374302,0.948882681564,0.642271293375,0.610256410256,0.624229979466,55.677747038
180,0.0247953352834,0.024344113709,0.0245869618655,0.946656189977,0.945181564246,0.944413407821,0.596699669967,0.581333333333,0.575692963753,58.933045805
