iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.115907977727,0.113306917456,0.112116338754,0.625632966649,0.630586592179,0.636592178771,0.208271787297,0.217455621302,0.216736905479,0.131433539
10,0.00947640227593,0.00801494709594,0.00918251396858,0.978260869565,0.980796089385,0.978770949721,0.875062719518,0.890656063618,0.878594249201,0.683091699
20,0.00850016478017,0.00721903509442,0.0083224421852,0.97817356382,0.980097765363,0.980167597765,0.874874874875,0.888454011742,0.886762360447,1.065535393
30,0.0081323179249,0.00721724096095,0.00802957968853,0.979657761481,0.980097765363,0.979608938547,0.882855706385,0.888454011742,0.883572567783,1.434198744
40,0.00799001781953,0.00714366884626,0.00790188117761,0.97983237297,0.981494413408,0.979888268156,0.883861236802,0.896281800391,0.885714285714,1.803679392
50,0.00786052109263,0.00713685593268,0.00792548006818,0.98000698446,0.980796089385,0.979888268156,0.884634760705,0.892367906067,0.883870967742,2.202528217
60,0.00779009679936,0.00714071785287,0.0079236005737,0.980268901694,0.981494413408,0.980167597765,0.886432160804,0.896281800391,0.886035313002,2.764584306
70,0.00767037099037,0.00721504559061,0.00793008268828,0.98131657063,0.981145251397,0.979608938547,0.893213572854,0.894941634241,0.8832,3.287729859
80,0.00759395186507,0.00718625496862,0.00803467398532,0.981403876375,0.981494413408,0.979888268156,0.893871449925,0.897087378641,0.885350318471,3.791304806
90,0.00755170764218,0.00717892596816,0.00815218345028,0.982015016588,0.981494413408,0.979888268156,0.897308075773,0.897087378641,0.885714285714,4.274640562
100,0.00751103362937,0.00721733177406,0.0082060216719,0.981927710843,0.981494413408,0.979608938547,0.896758104738,0.897087378641,0.884310618067,4.715553718
110,0.00747607382527,0.00723405695398,0.0082347452879,0.981927710843,0.981843575419,0.979329608939,0.896758104738,0.898832684825,0.88253968254,5.157267584
120,0.00745056503491,0.00725679704829,0.0082575585712,0.981927710843,0.981843575419,0.979608938547,0.896758104738,0.898832684825,0.884310618067,5.5214966
130,0.00741845366639,0.00733874269285,0.00829343923262,0.981753099354,0.981494413408,0.979329608939,0.896071606166,0.897087378641,0.88253968254,5.942490262
140,0.0074089994526,0.00732741309699,0.00834883233673,0.981665793609,0.981843575419,0.979329608939,0.895418326693,0.898832684825,0.88253968254,6.450403456
150,0.00738712228495,0.0074007942052,0.00839507783384,0.981229264886,0.981494413408,0.979608938547,0.893088015912,0.897087378641,0.884310618067,6.934766358
160,0.00737045345138,0.00742318789823,0.00846055637203,0.981403876375,0.981494413408,0.979329608939,0.893871449925,0.89748549323,0.88253968254,7.310154983
170,0.00734668900204,0.00745197469406,0.00854541366645,0.981141959141,0.980796089385,0.979329608939,0.892537313433,0.893617021277,0.88253968254,7.844948015
180,0.0073221240924,0.00745305660037,0.00862523515287,0.98131657063,0.979748603352,0.97905027933,0.89332003988,0.888030888031,0.880763116057,8.28154086
190,0.00730208748886,0.00745751430443,0.00866964270535,0.98131657063,0.979748603352,0.979329608939,0.893532338308,0.888461538462,0.88253968254,8.785704874
200,0.00729224932526,0.00744430273011,0.00868770253523,0.981578487865,0.980446927374,0.97905027933,0.894867962133,0.891891891892,0.881141045959,9.206267829
210,0.00727356230195,0.00746995251338,0.00871659840475,0.98149118212,0.980446927374,0.978770949721,0.894422310757,0.892720306513,0.879365079365,9.704744507
220,0.00725791352478,0.00748032181955,0.00870488727002,0.981665793609,0.980097765363,0.978770949721,0.895418326693,0.890595009597,0.879365079365,10.062140125
230,0.00723864018713,0.00747334148367,0.00868871197358,0.981665793609,0.980097765363,0.978770949721,0.895104895105,0.890173410405,0.87898089172,10.418737268
240,0.00721819788396,0.00749792227549,0.00868669211879,0.981927710843,0.979748603352,0.979329608939,0.896758104738,0.888888888889,0.88253968254,10.786655914
250,0.00719641723603,0.00749594943356,0.0086932752903,0.982015016588,0.979399441341,0.979608938547,0.897308075773,0.886756238004,0.884310618067,11.235575092
260,0.00717390925006,0.00749914711306,0.0087002168059,0.981840405099,0.979399441341,0.979608938547,0.896414342629,0.886756238004,0.883942766296,11.730281872
270,0.00714836274652,0.0074323885774,0.00873202109596,0.982015016588,0.980446927374,0.97905027933,0.897102897103,0.891891891892,0.880763116057,12.213240346
280,0.00712324818886,0.0074208938252,0.00875296719119,0.981840405099,0.980446927374,0.979329608939,0.89620758483,0.891891891892,0.88253968254,12.719758597
290,0.00710799002539,0.00743815136973,0.00872727146309,0.981927710843,0.979748603352,0.979329608939,0.896758104738,0.888461538462,0.88253968254,13.20346915
300,0.00709242113263,0.00744480975525,0.00872498807884,0.982102322333,0.980446927374,0.979329608939,0.897857498754,0.891891891892,0.88253968254,13.592882681
310,0.00708106664444,0.00748284150395,0.00873823126236,0.982189628078,0.980446927374,0.979329608939,0.898203592814,0.891891891892,0.88253968254,14.129234368
320,0.00706966089077,0.00749224986019,0.00874786177514,0.982276933822,0.980097765363,0.97905027933,0.898753117207,0.890173410405,0.880763116057,14.690429695
330,0.00705987946366,0.00750605696491,0.00876408015586,0.982015016588,0.980097765363,0.97905027933,0.897410358566,0.890173410405,0.880763116057,15.080488065
340,0.00704582365031,0.00749179427,0.00878452825462,0.982189628078,0.980097765363,0.97905027933,0.898406374502,0.890595009597,0.881141045959,15.558875183
350,0.00703357427845,0.0074881690473,0.00878268323736,0.982189628078,0.980446927374,0.97905027933,0.898305084746,0.892307692308,0.881141045959,15.947980441
360,0.00701661822575,0.00751760265985,0.00879186102697,0.982189628078,0.980446927374,0.97905027933,0.898406374502,0.892720306513,0.881141045959,16.427411638
370,0.00700687687185,0.00752639582874,0.00878826378459,0.982189628078,0.980446927374,0.978770949721,0.898406374502,0.892720306513,0.879746835443,16.814325521
380,0.00699503942324,0.00754736019939,0.00878697528255,0.981927710843,0.980446927374,0.979329608939,0.896963663514,0.892720306513,0.883280757098,17.265848532
390,0.00697803487142,0.00756090755615,0.00881197799901,0.981665793609,0.980796089385,0.979329608939,0.89552238806,0.89443378119,0.883280757098,17.650203797
400,0.00696911508337,0.00759495909894,0.00882412821458,0.982015016588,0.980796089385,0.979329608939,0.897715988083,0.89443378119,0.883280757098,18.107632916
410,0.00696062817271,0.00761852875272,0.00883376296338,0.981840405099,0.980796089385,0.97905027933,0.89662027833,0.89443378119,0.881516587678,18.484136225
420,0.00695522706181,0.00762121882453,0.00885047187706,0.981840405099,0.980796089385,0.97905027933,0.89662027833,0.89443378119,0.881516587678,18.969252447
430,0.0069475561426,0.00759937609037,0.00890382042006,0.981927710843,0.981145251397,0.978491620112,0.897168405365,0.896551724138,0.878357030016,19.337013577
440,0.00693914357247,0.00761300001742,0.00889234426332,0.981840405099,0.980446927374,0.978770949721,0.896722939424,0.892720306513,0.880126182965,19.694348579
450,0.00693075433833,0.00759540585802,0.00891547174506,0.981840405099,0.981145251397,0.978770949721,0.896722939424,0.896551724138,0.880126182965,20.075074275
460,0.00692085830851,0.0076262262571,0.00893718503323,0.981578487865,0.981145251397,0.978770949721,0.895492818227,0.896551724138,0.879746835443,20.49375084
470,0.00691776169427,0.00761938520921,0.0089325120306,0.981840405099,0.981145251397,0.978770949721,0.89692765114,0.896551724138,0.879746835443,20.960360191
480,0.00691071001564,0.00761066838425,0.00895309619549,0.981840405099,0.981494413408,0.978770949721,0.896722939424,0.898272552783,0.879746835443,21.361322708
490,0.00690573742499,0.00761761125648,0.00894924296136,0.981927710843,0.981145251397,0.978770949721,0.897372335151,0.896551724138,0.880126182965,21.861957695
500,0.0068983217048,0.00762179506194,0.00896019791579,0.982102322333,0.981145251397,0.978770949721,0.898464586429,0.896551724138,0.880126182965,22.298348311
510,0.00689068494437,0.0075996734594,0.00896169250194,0.982015016588,0.981494413408,0.978491620112,0.897817460317,0.898272552783,0.877971473851,22.843300214
520,0.00688833487292,0.00758802362359,0.00896576414331,0.981927710843,0.981494413408,0.978491620112,0.897270471464,0.898272552783,0.877971473851,23.226920814
530,0.00688073788495,0.00759588282046,0.00897715002551,0.981840405099,0.981843575419,0.978212290503,0.896722939424,0.9,0.876582278481,23.733308032
540,0.00687333923728,0.00760884218485,0.0089966575282,0.982276933822,0.981494413408,0.978212290503,0.899355478433,0.898272552783,0.876582278481,24.122289575
550,0.00686765244929,0.00760968521103,0.00900211845041,0.982276933822,0.981843575419,0.978770949721,0.899355478433,0.9,0.880126182965,24.536079075
560,0.00686063450703,0.00759566158426,0.00902404885768,0.982364239567,0.981843575419,0.978491620112,0.899801587302,0.9,0.878357030016,24.914656975
570,0.00685531677811,0.00760600152702,0.00901045661025,0.982189628078,0.981843575419,0.97905027933,0.899109792285,0.9,0.881516587678,25.385258192
580,0.00684825864485,0.00760989356274,0.00902197339559,0.982189628078,0.981843575419,0.97905027933,0.89900990099,0.9,0.881516587678,25.743536475
590,0.00684303912775,0.00761534248616,0.00902825203764,0.982189628078,0.981843575419,0.97905027933,0.898909811695,0.9,0.881516587678,26.11153528
600,0.00683619001911,0.00761655095553,0.00904607358174,0.982276933822,0.981843575419,0.97905027933,0.89945517583,0.9,0.881516587678,26.52393863
610,0.00683071096084,0.00761536512163,0.00907411091738,0.982364239567,0.981843575419,0.978491620112,0.899900891972,0.9,0.877971473851,26.929040092
620,0.00682524408395,0.00762662310146,0.00909255186512,0.982276933822,0.981494413408,0.978212290503,0.899255583127,0.898272552783,0.876582278481,27.421878395
630,0.00682096466982,0.00763091573666,0.0090927619955,0.982451545312,0.981494413408,0.978491620112,0.900347050074,0.898272552783,0.878357030016,27.874883718
640,0.00681450443969,0.00763384816532,0.00911135904327,0.982626156801,0.981494413408,0.978491620112,0.901338621715,0.898272552783,0.878357030016,28.392126089
