iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.141140757332,0.140952487953,0.140497276995,0.282608695652,0.28561452514,0.294134078212,0.195909580194,0.19638648861,0.192393736018,0.0211258419999
10,0.137098132337,0.136978400448,0.136376334355,0.40562248996,0.40782122905,0.417318435754,0.224601366743,0.224862888483,0.219895287958,0.252725855
20,0.141358046633,0.141425097875,0.140718146677,0.365723764624,0.365921787709,0.370670391061,0.214509676722,0.213852813853,0.209196209196,0.516362207
30,0.146889522359,0.146945243981,0.146172503281,0.338309760782,0.336941340782,0.34217877095,0.211260276824,0.211051100956,0.208935169634,0.699865032
40,0.167908004864,0.168016274643,0.16709056196,0.268901693731,0.260125698324,0.271508379888,0.194807692308,0.193990110308,0.190564866543,0.94848832
50,0.174159120227,0.174188061686,0.173352167505,0.21520866073,0.20844972067,0.222346368715,0.18437528355,0.183651422398,0.18357771261,1.178404138
60,0.177784566308,0.178008386744,0.177111697695,0.203509690938,0.201117318436,0.209776536313,0.17625282167,0.178750897344,0.172565077508,1.43475984
70,0.177022813653,0.177158523327,0.176276198326,0.209184564344,0.206703910615,0.214804469274,0.179380322522,0.182145428366,0.177348551361,1.640836693
80,0.169120356191,0.169277625645,0.16852381621,0.230487166056,0.231494413408,0.242458100559,0.183737729209,0.187523071244,0.18313253012,1.817906261
90,0.161439772747,0.161558644394,0.160751605819,0.273790815436,0.275488826816,0.283798882682,0.191642371234,0.194800155219,0.191167192429,2.152512235
100,0.157462309336,0.157527759508,0.156791625725,0.296752226296,0.296089385475,0.314804469274,0.195063455581,0.197452229299,0.19705400982,2.35511042
110,0.137873452915,0.137796362491,0.137265907061,0.395931552296,0.39594972067,0.403072625698,0.220745579457,0.222122302158,0.220357533747,2.554470748
120,0.12834933232,0.128169398345,0.127747526444,0.508905185961,0.503491620112,0.509497206704,0.257621750033,0.257828810021,0.254035683942,2.724847223
130,0.101504271712,0.101291103191,0.101139024457,0.830015715034,0.825069832402,0.827932960894,0.489913544669,0.48403707518,0.478849407783,3.11324127
140,0.0861894917343,0.0860238086628,0.0859351455915,0.920115243583,0.923533519553,0.921508379888,0.64929091606,0.669683257919,0.653514180025,3.312083437
150,0.063730597234,0.0633265531382,0.0635961970928,0.949013445085,0.953561452514,0.95251396648,0.74363476734,0.76707530648,0.751461988304,3.508634885
160,0.0622438140353,0.0617567446845,0.0620323007734,0.949188056574,0.951815642458,0.953351955307,0.749137931034,0.762068965517,0.761768901569,3.684599433
170,0.0612634223044,0.0606779975126,0.0610668401201,0.952418369129,0.956703910615,0.956703910615,0.763762462072,0.784722222222,0.780141843972,3.898770101
180,0.0607764478148,0.0601894070577,0.060571877661,0.952156451895,0.956703910615,0.956424581006,0.762152777778,0.784722222222,0.778409090909,4.067079848
190,0.0598772750003,0.05933531773,0.0596987845162,0.960887026366,0.965782122905,0.96312849162,0.795992714026,0.821818181818,0.804733727811,4.266411216
200,0.0579157464624,0.0573543435608,0.057949182795,0.969181072115,0.972416201117,0.971229050279,0.827383863081,0.847195357834,0.834138486312,4.449629709
210,0.0570566686948,0.0564196061231,0.0571634113164,0.971189104243,0.974860335196,0.971229050279,0.834337349398,0.856,0.830313014827,4.737077189
220,0.0553750101996,0.05476872015,0.0555622731523,0.971887550201,0.97625698324,0.971229050279,0.837537840565,0.862348178138,0.828618968386,4.928970048
230,0.0542970256072,0.0536658126454,0.0545169679388,0.971887550201,0.97625698324,0.971787709497,0.836382113821,0.862348178138,0.830820770519,5.107783731
240,0.0405767381096,0.0399398388383,0.0409775265879,0.962371224027,0.965083798883,0.960335195531,0.744516893894,0.767441860465,0.727969348659,5.323759491
250,0.0391600379879,0.0384199548644,0.0396721748525,0.96595075956,0.967527932961,0.964245810056,0.774826789838,0.787185354691,0.761194029851,5.494832988
260,0.0383699141669,0.0376507098747,0.038870353283,0.962458529771,0.964734636872,0.961173184358,0.74435196195,0.763466042155,0.735238095238,5.676827472
270,0.0355546537719,0.0348368858212,0.0360017298305,0.965165007858,0.966829608939,0.962849162011,0.768695652174,0.781609195402,0.749529190207,5.861858135
280,0.0334354843939,0.0326464997502,0.033885685932,0.966911122752,0.968575418994,0.965363128492,0.783056668575,0.795454545455,0.77037037037,6.033461916
290,0.032992959036,0.0322122801612,0.0333851251475,0.968569931902,0.972067039106,0.966480446927,0.796149490374,0.822222222222,0.78021978022,6.230815257
300,0.0313224094885,0.0303776204783,0.0316471399144,0.970752575519,0.97625698324,0.969273743017,0.816438356164,0.853448275862,0.804964539007,6.497344971
310,0.0313642564598,0.0304451386723,0.0316908164309,0.970665269775,0.975907821229,0.969553072626,0.815991237678,0.851612903226,0.807079646018,6.696347017
320,0.0307218478553,0.0298139371389,0.0309038001766,0.973022524882,0.97625698324,0.971787709497,0.834138486312,0.856540084388,0.825561312608,6.871688873
330,0.0255336100754,0.0244431507122,0.025771927084,0.972498690414,0.97625698324,0.972067039106,0.830188679245,0.855319148936,0.825783972125,7.044647013
340,0.0226573772423,0.0216202534685,0.0229403001046,0.971014492754,0.974860335196,0.969273743017,0.81718061674,0.844155844156,0.804964539007,7.240598707
350,0.022564123261,0.0215773249518,0.0224976663155,0.97223677318,0.975558659218,0.972067039106,0.837256908905,0.858299595142,0.83164983165,7.449633424
360,0.0224042264225,0.0213899594603,0.0224248438213,0.97354635935,0.97625698324,0.972625698324,0.842923794712,0.861224489796,0.833898305085,7.64523809
