params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.6110609999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.5953459999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.637232,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.0583419999999997,100,0.00019253473798928346,0.0,0.0,0.01098901098901099,0.0013614431516587508
"{""discount_factor"": 0.4}",1.1725729999999999,100,0.00017543859649122806,0.0,0.0,0.017543859649122806,0.0017455919949238947
"{""discount_factor"": 0.5}",1.0334369999999993,100,0.0031535897087479866,0.0,0.0,0.023255813953488372,0.006287468943166448
"{""discount_factor"": 0.6}",1.0333259999999989,100,0.008866517828926503,0.00673591581239227,0.0,0.041666666666666664,0.010375137321366093
"{""discount_factor"": 0.7}",1.174995000000001,100,0.010417103717456048,0.010001000100010001,0.0,0.05,0.010766824259488682
"{""discount_factor"": 0.8}",1.045249,100,0.010758137464562847,0.010165118679050567,0.0,0.038461538461538464,0.01057240577869868
"{""discount_factor"": 0.9}",1.1076890000000006,100,0.013486610343320146,0.012739370334307044,0.0,0.05263157894736842,0.01129157225084704
