params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.6762550000000047,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.3835970000000017,100,-3.1014423076923068,6.769230769230769,-13.375,6.769230769230769,10.070100760055858
"{""discount_factor"": 0.2}",1.479810999999998,100,-5.51875,-13.375,-13.375,6.769230769230769,9.825347267057245
"{""discount_factor"": 0.3}",1.4705310000000011,100,-5.317307692307691,-13.375,-13.375,6.769230769230769,9.868617329097614
"{""discount_factor"": 0.4}",1.464295,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.5}",1.4646700000000052,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.02162827278062
"{""discount_factor"": 0.6}",1.376336000000002,100,-1.0870192307692306,6.769230769230769,-13.375,6.769230769230769,9.825347267057243
"{""discount_factor"": 0.7}",1.4547430000000006,100,-2.094230769230769,6.769230769230769,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.8}",1.4653419999999997,100,-1.489903846153846,6.769230769230769,-13.375,6.769230769230769,9.907603597813416
"{""discount_factor"": 0.9}",1.6095809999999986,100,-1.6913461538461538,6.769230769230769,-13.375,6.769230769230769,9.942356466551988
