k,Adult log-likelihood
2,-10.788230275973227
3,-10.375397128536191
4,-10.032958854493588
5,-9.721383160116643
6,-9.323003562861539
7,-9.453010434163922
8,-9.06576836476204
9,-8.97219112461434
10,-8.898716190684981
15,-8.448335348117816
20,-4.19003793201637
25,-6.960164766983884
30,-2.7847168055295555
35,-2.447620886055669
40,-0.9909711429366691
