k,Adult sse (left)
2,5926.34376109076
3,4929.275916886081
4,4388.6209718366745
5,3800.1884083877158
6,3497.0421456710837
7,3323.267736208722
8,3150.530891272059
9,3008.608757193194
10,2867.2904503800883
15,2413.3412004988654
20,2159.5034090546987
25,1940.8435305347684
30,1801.5117220398172
35,1643.6296405520575
40,1529.4739195988382
