k,Statlog Vehicle log-likelihood
2,-7.160413960932532
3,-6.626835159659501
4,-6.340288865955722
5,-6.054483557774202
6,-5.731494597699405
7,-5.499847036165871
8,-5.421144918170121
9,-5.342379366415996
10,-5.341236134763758
15,-4.624341319125465
20,-4.336592059774179
25,-3.9193727752335303
30,-3.228904558813629
35,-2.4007530932753243
40,-1.6964806456956205
