k,Statlog Vehicle BIC
2,6356.659243793733
3,6131.7871713973755
4,6111.458015268358
5,6091.74239515177
6,6041.238711267551
7,6066.365705375495
8,6218.131526732725
9,6369.844824938022
10,6585.829404187679
15,7076.89637212773
20,7923.295860673421
25,8662.494168362322
30,9175.4423604552
35,9574.388822278039
40,10075.9071109706
