k,Adult BIC
2,11012.268453222194
3,10830.690562813666
4,10718.099648331685
5,10635.754061922045
6,10468.340650691813
7,10818.745978647916
8,10662.24734471384
9,10793.540243448862
10,10944.533402277859
15,11618.153146960878
20,8560.014649580302
25,12389.731918247307
30,9412.785886420905
35,10197.424855735338
40,9884.90107787756
