k,Statlog Vehicle sse (left)
2,3584.383479291255
3,2964.55423290014
4,2590.2886966432493
5,2256.7389926407545
6,1933.9710662086175
7,1713.3645028831588
8,1571.8866088506384
9,1444.8127400429225
10,1337.584598714528
15,1032.490563036476
20,856.7245289062773
25,748.4600942389488
30,676.0299425696343
35,589.8498235034715
40,554.0645948531828
