iterations,fitness,time,fevals
0,539.0,0.005538018,651
10,552.0,0.010546064,1199
20,550.0,0.015845432,1750
30,548.0,0.020039715,2293
40,549.0,0.023362258,2843
50,549.0,0.032859811,3393
60,543.0,0.039319986,3940
70,546.0,0.04516041,4478
80,547.0,0.047687895,5027
90,548.0,0.050881487,5567
100,552.0,0.054331473,6124
110,557.0,0.058663511,6671
120,559.0,0.063504874,7222
130,563.0,0.067627952,7769
140,557.0,0.06986169,8317
150,560.0,0.073057887,8868
160,559.0,0.07574905,9421
170,568.0,0.078875538,9968
180,568.0,0.081331736,10518
190,570.0,0.083785608,11062
200,564.0,0.087581955,11612
210,566.0,0.094592348,12164
220,567.0,0.098132512,12714
230,564.0,0.101185517,13262
240,565.0,0.103621519,13804
250,571.0,0.107626778,14347
260,568.0,0.110698005,14892
270,562.0,0.114273256,15438
280,566.0,0.118660803,15986
290,568.0,0.121781736,16531
300,568.0,0.124432639,17081
310,572.0,0.128613681,17627
320,570.0,0.131412018,18170
330,570.0,0.134136279,18720
340,570.0,0.136421676,19278
350,572.0,0.13864268,19827
360,570.0,0.143054181,20380
370,568.0,0.145574181,20926
380,568.0,0.149025751,21468
390,568.0,0.15136167,22019
400,566.0,0.153571643,22557
410,568.0,0.157021074,23105
420,568.0,0.15914011,23650
430,568.0,0.161475833,24201
440,566.0,0.163959956,24741
450,566.0,0.166667447,25291
460,568.0,0.170166029,25835
470,568.0,0.174174362,26381
480,570.0,0.176768273,26926
490,570.0,0.179611189,27479
500,568.0,0.182184437,28025
510,568.0,0.185618254,28571
520,568.0,0.188168424,29119
530,568.0,0.190648563,29663
540,566.0,0.193025735,30212
550,566.0,0.195115666,30762
560,568.0,0.19833491,31323
570,564.0,0.201637165,31870
580,564.0,0.204589643,32423
590,562.0,0.207108419,32965
600,564.0,0.209544178,33513
610,564.0,0.211432579,34054
620,566.0,0.214711844,34606
630,564.0,0.22134134,35155
640,564.0,0.230979012,35702
650,566.0,0.240940629,36253
660,564.0,0.246285848,36806
670,562.0,0.248735136,37354
680,563.0,0.251274297,37910
690,566.0,0.253526742,38456
700,564.0,0.258957679,38999
710,566.0,0.261654215,39542
720,573.0,0.268517064,40082
730,567.0,0.270744754,40633
740,565.0,0.273207238,41180
750,566.0,0.276164057,41730
760,567.0,0.278887849,42281
770,569.0,0.281185633,42826
780,567.0,0.283513198,43375
790,567.0,0.285468075,43925
800,565.0,0.2880506,44478
810,565.0,0.29872599,45028
820,565.0,0.301259492,45587
830,565.0,0.305200777,46134
840,567.0,0.307486036,46685
850,563.0,0.310264839,47240
860,567.0,0.312681633,47789
870,565.0,0.328510779,48338
880,565.0,0.333041917,48888
890,565.0,0.337120379,49433
900,565.0,0.344310217,49989
910,563.0,0.3483656,50535
920,565.0,0.352965761,51080
930,563.0,0.355067457,51636
940,563.0,0.357209243,52181
950,565.0,0.359551879,52731
960,565.0,0.363322261,53274
970,567.0,0.365571557,53823
980,565.0,0.36881312,54373
990,563.0,0.372508927,54923
1000,563.0,0.377222232,55474
1010,563.0,0.380554794,56019
1020,561.0,0.383955528,56575
1030,561.0,0.387945609,57125
1040,561.0,0.39413653,57672
1050,563.0,0.396523271,58216
1060,563.0,0.398927014,58761
1070,563.0,0.401875965,59309
1080,561.0,0.406011238,59861
1090,563.0,0.408406754,60411
1100,561.0,0.411763083,60959
1110,565.0,0.415418902,61513
1120,565.0,0.424643486,62051
1130,565.0,0.429921168,62599
1140,563.0,0.43190585,63150
1150,563.0,0.439098653,63699
1160,561.0,0.442489839,64240
1170,561.0,0.444934179,64784
1180,559.0,0.44723882,65330
1190,559.0,0.456312669,65882
1200,561.0,0.45862933,66433
1210,561.0,0.461178102,66977
1220,563.0,0.463614229,67528
1230,565.0,0.471803789,68075
1240,561.0,0.474734508,68623
1250,561.0,0.477402063,69165
1260,562.0,0.479696316,69714
1270,564.0,0.482824785,70264
1280,562.0,0.485131281,70819
1290,564.0,0.487482572,71370
1300,565.0,0.490137328,71912
1310,563.0,0.492356887,72461
1320,564.0,0.494764982,73011
1330,565.0,0.500527586,73556
1340,567.0,0.504236765,74106
1350,567.0,0.506316811,74658
1360,566.0,0.508334401,75209
1370,564.0,0.511953206,75762
1380,562.0,0.514713875,76310
1390,563.0,0.517681095,76852
1400,562.0,0.519892235,77397
1410,562.0,0.522160859,77948
1420,564.0,0.525326994,78496
1430,562.0,0.527677777,79037
1440,562.0,0.530633462,79592
1450,560.0,0.53307849,80137
1460,562.0,0.535191325,80683
1470,560.0,0.537378403,81234
1480,562.0,0.541933831,81788
1490,562.0,0.54401878,82327
1500,562.0,0.546293903,82874
1510,562.0,0.548554362,83425
1520,562.0,0.551563698,83980
1530,562.0,0.55536815,84529
1540,566.0,0.557831122,85079
1550,564.0,0.561470812,85622
1560,558.0,0.564788922,86170
1570,558.0,0.566888794,86726
1580,560.0,0.570892494,87276
1590,558.0,0.573722743,87828
1600,560.0,0.576562026,88379
1610,560.0,0.578759562,88926
1620,560.0,0.581216511,89468
1630,562.0,0.585298388,90015
1640,560.0,0.589143777,90562
1650,562.0,0.593851764,91111
1660,560.0,0.596640766,91660
1670,562.0,0.601056949,92207
1680,566.0,0.603468102,92762
1690,566.0,0.606922071,93307
1700,566.0,0.610033966,93854
1710,564.0,0.613595523,94409
1720,562.0,0.616011498,94966
1730,564.0,0.620199395,95516
1740,562.0,0.625180485,96064
1750,564.0,0.629270755,96616
1760,560.0,0.631334222,97165
1770,558.0,0.635597155,97718
1780,558.0,0.638318333,98271
1790,558.0,0.642566576,98824
1800,556.0,0.644902074,99365
1810,556.0,0.647395458,99915
1820,554.0,0.651271799,100460
1830,556.0,0.656358668,101005
1840,558.0,0.658779761,101543
1850,556.0,0.663782232,102101
1860,554.0,0.666336123,102650
1870,558.0,0.669114668,103206
1880,552.0,0.671566246,103752
1890,556.0,0.673994731,104308
1900,556.0,0.677227921,104853
1910,556.0,0.679449142,105395
1920,556.0,0.681576727,105949
1930,554.0,0.685139136,106494
1940,556.0,0.687839122,107038
1950,556.0,0.690511119,107581
1960,558.0,0.693628658,108127
1970,560.0,0.696095256,108677
1980,558.0,0.699023684,109218
1990,560.0,0.701838409,109774
2000,560.0,0.70555505,110326
2010,562.0,0.70985298,110873
2020,562.0,0.713135962,111421
2030,562.0,0.715850986,111969
2040,558.0,0.718898008,112525
2050,558.0,0.721280132,113064
2060,560.0,0.723814368,113611
2070,558.0,0.727061433,114155
2080,558.0,0.73098352,114702
2090,562.0,0.733646258,115252
2100,558.0,0.738014384,115803
2110,558.0,0.740538584,116353
2120,558.0,0.743767277,116903
2130,556.0,0.746268212,117449
2140,556.0,0.749212586,118008
2150,556.0,0.752919206,118559
2160,558.0,0.757744641,119103
2170,558.0,0.765186853,119643
2180,558.0,0.768417287,120184
2190,558.0,0.771074204,120732
2200,556.0,0.773880393,121274
2210,556.0,0.77593797,121823
2220,554.0,0.779113643,122376
2230,558.0,0.781811851,122918
2240,560.0,0.784025756,123460
2250,558.0,0.787529093,124009
2260,560.0,0.794410593,124554
2270,560.0,0.797054552,125106
2280,558.0,0.799802379,125654
2290,556.0,0.802829056,126192
2300,556.0,0.804853724,126744
2310,556.0,0.808764449,127294
2320,556.0,0.811117443,127841
2330,554.0,0.813298192,128389
2340,556.0,0.817676938,128943
2350,556.0,0.821272308,129481
2360,558.0,0.825155266,130026
2370,558.0,0.827886154,130577
2380,558.0,0.832496186,131135
2390,560.0,0.835129693,131678
2400,562.0,0.838157798,132219
2410,564.0,0.840750201,132766
2420,562.0,0.844013103,133316
2430,562.0,0.850970031,133862
2440,562.0,0.854093094,134408
2450,562.0,0.86217812,134955
2460,564.0,0.864511767,135499
2470,560.0,0.867170332,136040
2480,560.0,0.869679557,136593
2490,558.0,0.874171911,137138
2500,558.0,0.878741961,137694
2510,560.0,0.881441435,138242
2520,560.0,0.883857801,138791
2530,560.0,0.88648022,139341
2540,560.0,0.889862747,139892
2550,560.0,0.893133244,140445
2560,560.0,0.89547748,140994
2570,560.0,0.89750343,141541
2580,558.0,0.900711453,142091
2590,560.0,0.905807271,142643
2600,558.0,0.908403428,143191
2610,560.0,0.912235717,143735
2620,560.0,0.914958373,144287
2630,560.0,0.919866032,144831
2640,560.0,0.923731018,145378
2650,560.0,0.926240843,145923
2660,564.0,0.929877569,146475
2670,566.0,0.933049127,147020
2680,566.0,0.937070465,147567
2690,568.0,0.939826951,148118
2700,568.0,0.942900914,148668
2710,566.0,0.947642565,149222
2720,566.0,0.949974372,149765
2730,566.0,0.952511436,150314
2740,566.0,0.954671825,150859
2750,570.0,0.957115865,151406
2760,568.0,0.96046803,151953
2770,570.0,0.968892416,152504
2780,568.0,0.971179584,153047
2790,566.0,0.973723964,153596
2800,568.0,0.979556103,154148
2810,566.0,0.98238481,154698
2820,568.0,0.984988084,155255
2830,572.0,0.987256492,155802
2840,566.0,0.990702305,156349
2850,566.0,0.993207534,156892
2860,564.0,0.995627821,157444
2870,566.0,0.998202585,157996
2880,566.0,1.000585944,158534
2890,566.0,1.002972436,159087
2900,562.0,1.006211486,159643
2910,560.0,1.008487823,160193
2920,558.0,1.011172033,160733
2930,558.0,1.013218769,161288
2940,562.0,1.015393831,161835
2950,562.0,1.019114088,162380
2960,564.0,1.02408727,162923
2970,560.0,1.026465019,163464
2980,562.0,1.028903193,164015
2990,560.0,1.032676851,164567
3000,562.0,1.03599562,165109
