iterations,fitness,time,fevals
0,537.0,0.004305312,560
10,555.0,0.008311477,1018
20,555.0,0.010876132,1472
30,561.0,0.013471414,1935
40,554.0,0.017101576,2391
50,548.0,0.020151114,2859
60,544.0,0.022970037,3326
70,553.0,0.025785922,3782
80,553.0,0.030559035,4246
90,540.0,0.034459772,4704
100,542.0,0.037112239,5164
110,538.0,0.0401053,5622
120,548.0,0.045097754,6080
130,550.0,0.048846092,6542
140,552.0,0.051848079,6998
150,556.0,0.054272976,7459
160,556.0,0.05863708,7901
170,566.0,0.061943787,8375
180,564.0,0.065037976,8841
190,564.0,0.067320413,9305
200,566.0,0.073496169,9760
210,568.0,0.075660728,10213
220,564.0,0.079507643,10670
230,566.0,0.08206887,11134
240,566.0,0.084441315,11593
250,568.0,0.08653751,12051
260,568.0,0.089275428,12514
270,568.0,0.0910626,12959
280,570.0,0.093351512,13407
290,572.0,0.095226838,13873
300,570.0,0.098158873,14331
310,570.0,0.100772247,14773
320,560.0,0.103091729,15239
330,564.0,0.106862034,15696
340,568.0,0.109026698,16149
350,568.0,0.111725614,16599
360,567.0,0.114459763,17055
370,567.0,0.117502578,17512
380,569.0,0.120909607,17955
390,571.0,0.123408724,18407
400,569.0,0.125452776,18865
410,575.0,0.127331628,19302
420,579.0,0.130284364,19763
430,579.0,0.133772898,20224
440,576.0,0.139609451,20692
450,572.0,0.142029238,21142
460,579.0,0.143880202,21588
470,568.0,0.146439576,22049
480,568.0,0.148261465,22491
490,573.0,0.151818136,22950
500,572.0,0.153791368,23401
510,573.0,0.157238069,23837
520,571.0,0.163430558,24304
530,572.0,0.167494501,24758
540,576.0,0.175156487,25222
550,574.0,0.177379571,25678
560,575.0,0.179603214,26133
570,580.0,0.182133445,26589
580,570.0,0.184662182,27043
590,570.0,0.187465374,27487
600,566.0,0.189797595,27951
610,569.0,0.192528059,28406
620,572.0,0.194875634,28861
630,569.0,0.197021915,29331
640,572.0,0.199374761,29790
650,570.0,0.203010517,30236
660,571.0,0.205574466,30708
670,570.0,0.209057656,31167
680,570.0,0.211446663,31623
690,573.0,0.213680383,32077
700,575.0,0.217778416,32528
710,575.0,0.219907173,32993
720,575.0,0.22194598,33465
730,573.0,0.225335733,33926
740,573.0,0.228038927,34383
750,575.0,0.230654921,34840
760,577.0,0.233354762,35299
770,581.0,0.236013926,35748
780,572.0,0.238120069,36213
790,575.0,0.240910475,36671
800,578.0,0.246527476,37123
810,578.0,0.24861787,37573
820,574.0,0.250521582,38023
830,573.0,0.252841718,38485
840,571.0,0.255348912,38944
850,571.0,0.258983475,39385
860,576.0,0.261141403,39846
870,574.0,0.263203338,40305
880,576.0,0.265281655,40759
890,572.0,0.270647497,41216
900,570.0,0.273081619,41661
910,568.0,0.281217074,42117
920,570.0,0.284390365,42563
930,558.0,0.287218568,43009
940,560.0,0.28918408,43461
950,559.0,0.291111985,43918
960,560.0,0.293864375,44379
970,557.0,0.297754524,44835
980,558.0,0.300367969,45292
990,556.0,0.303539354,45746
1000,556.0,0.307494989,46211
1010,552.0,0.31453764,46669
1020,554.0,0.317324135,47108
1030,556.0,0.319811489,47566
1040,556.0,0.322158445,48016
1050,558.0,0.323996296,48479
1060,558.0,0.326960817,48920
1070,560.0,0.329433561,49367
1080,560.0,0.332728283,49815
1090,556.0,0.335929146,50257
1100,564.0,0.338086366,50717
1110,562.0,0.340089373,51168
1120,565.0,0.342026101,51630
1130,564.0,0.344328573,52075
1140,568.0,0.347443635,52539
1150,568.0,0.350100859,52987
1160,566.0,0.352268294,53424
1170,564.0,0.354219348,53871
1180,568.0,0.357095687,54325
1190,566.0,0.359581999,54773
1200,570.0,0.362704585,55237
1210,572.0,0.365486332,55693
1220,570.0,0.370904011,56167
1230,574.0,0.375447776,56626
1240,570.0,0.377967924,57081
1250,568.0,0.381507746,57540
1260,566.0,0.383984954,57996
1270,566.0,0.386519219,58449
1280,568.0,0.389744775,58904
1290,570.0,0.393342024,59355
1300,568.0,0.396251697,59818
1310,570.0,0.398568108,60284
1320,566.0,0.402669833,60742
1330,564.0,0.405049388,61201
1340,566.0,0.407521203,61643
1350,566.0,0.410088344,62102
1360,564.0,0.412533228,62548
1370,572.0,0.414722972,63021
1380,576.0,0.416670465,63491
1390,572.0,0.419464519,63947
1400,570.0,0.422247414,64406
1410,573.0,0.425723362,64879
1420,574.0,0.428857173,65326
1430,569.0,0.431225971,65774
1440,569.0,0.434401003,66236
1450,567.0,0.437111615,66699
1460,567.0,0.439597326,67147
1470,564.0,0.442281443,67607
1480,564.0,0.44436127,68077
1490,563.0,0.446782971,68529
1500,563.0,0.450774256,68994
1510,566.0,0.453607152,69459
1520,570.0,0.458490394,69920
1530,568.0,0.460412911,70362
1540,568.0,0.463526734,70817
1550,566.0,0.465514456,71274
1560,570.0,0.467497593,71733
1570,574.0,0.469497436,72183
1580,570.0,0.474417601,72621
1590,572.0,0.480085455,73084
1600,576.0,0.4845184,73546
1610,572.0,0.488415386,74009
1620,578.0,0.491091755,74471
1630,576.0,0.49416571,74937
1640,576.0,0.496854353,75399
1650,580.0,0.501053183,75869
1660,574.0,0.504150536,76310
1670,576.0,0.507294575,76766
1680,578.0,0.51008946,77216
1690,582.0,0.512726295,77669
1700,582.0,0.516415436,78113
1710,580.0,0.51841695,78561
1720,580.0,0.523511758,79019
1730,582.0,0.525837059,79481
1740,580.0,0.529188491,79924
1750,584.0,0.531562754,80375
1760,586.0,0.533779447,80835
1770,582.0,0.536888016,81294
1780,580.0,0.539085754,81750
1790,582.0,0.541700192,82203
1800,586.0,0.545431346,82661
1810,584.0,0.547614722,83114
1820,586.0,0.549664358,83563
1830,586.0,0.55275879,84031
1840,588.0,0.554585821,84496
1850,588.0,0.556497909,84954
1860,590.0,0.558509102,85422
1870,596.0,0.560849696,85869
1880,592.0,0.563155139,86333
1890,598.0,0.566164012,86801
1900,604.0,0.568624525,87272
1910,602.0,0.57086788,87726
1920,602.0,0.577110619,88182
1930,594.0,0.581317011,88637
1940,596.0,0.583534489,89098
1950,596.0,0.586162549,89563
1960,592.0,0.588113012,90014
1970,594.0,0.590405958,90470
1980,592.0,0.592913269,90933
1990,594.0,0.596542537,91383
2000,596.0,0.59842194,91841
2010,596.0,0.601588595,92297
2020,592.0,0.604425532,92751
2030,592.0,0.606968901,93208
2040,596.0,0.613044746,93667
2050,592.0,0.615121422,94128
2060,592.0,0.617242617,94591
