iterations,fitness,time,fevals
1760,794.0,1543.4240542,194600
1770,798.0,1550.98538031,195700
1780,800.0,1558.38042394,196800
1790,798.0,1568.11578658,197900
1800,800.0,1577.82978339,199000
1810,798.0,1585.45240755,200100
1820,794.0,1593.53206361,201200
1830,796.0,1602.30238304,202300
1840,796.0,1610.26993559,203400
1850,794.0,1618.4820415,204500
1860,794.0,1627.42993896,205600
1870,800.0,1636.43621344,206700
1880,802.0,1646.01926338,207800
1890,792.0,1656.49646437,208900
1900,792.0,1664.90732295,210000
1910,796.0,1673.45143712,211100
1920,804.0,1680.86809323,212200
1930,806.0,1688.51947162,213300
1940,798.0,1696.19224271,214400
1950,802.0,1704.74825381,215500
1960,806.0,1712.31656614,216600
1970,800.0,1720.62950831,217700
1980,806.0,1728.41699163,218800
1990,806.0,1736.23900183,219900
2000,802.0,1744.90126341,221000
2010,798.0,1753.58774675,222100
2020,802.0,1762.84195761,223200
2030,802.0,1772.17234208,224300
2040,802.0,1781.23746118,225400
2050,802.0,1790.66539554,226500
2060,802.0,1799.28607517,227600
2070,806.0,1808.33211671,228700
2080,802.0,1817.88822867,229800
2090,800.0,1826.84471691,230900
2100,798.0,1834.77623147,232000
2110,800.0,1843.57982615,233100
2120,806.0,1851.4915344,234200
2130,806.0,1859.64190776,235300
2140,802.0,1868.57029306,236400
2150,810.0,1877.71729366,237500
2160,802.0,1886.3912557,238600
2170,804.0,1894.69069692,239700
2180,808.0,1903.4938047,240800
2190,808.0,1912.90293688,241900
2200,808.0,1922.96689363,243000
2210,806.0,1932.08541033,244100
2220,806.0,1941.42700612,245200
2230,806.0,1949.2406485,246300
2240,798.0,1959.03949685,247400
2250,806.0,1967.69458852,248500
2260,806.0,1976.293231,249600
2270,800.0,1985.05763753,250700
2280,806.0,1992.79085359,251800
2290,800.0,2000.72421742,252900
2300,804.0,2010.16814939,254000
2310,806.0,2019.17699963,255100
2320,802.0,2027.54302724,256200
2330,804.0,2036.27776802,257300
2340,800.0,2044.56927919,258400
2350,810.0,2053.37007662,259500
2360,806.0,2061.29195092,260600
2370,798.0,2069.97927132,261700
2380,804.0,2079.61329562,262800
2390,808.0,2088.25678885,263900
2400,804.0,2098.98701641,265000
2410,804.0,2109.57937433,266100
2420,802.0,2121.61372396,267200
2430,810.0,2130.88008872,268300
2440,806.0,2139.51905544,269400
2450,804.0,2148.41153432,270500
2460,804.0,2158.0166414,271600
2470,810.0,2167.61938678,272700
2480,806.0,2177.08068122,273800
2490,806.0,2184.73096756,274900
2500,802.0,2192.26906199,276000
2510,804.0,2199.83138276,277100
2520,804.0,2207.49266644,278200
2530,806.0,2214.90684365,279300
2540,812.0,2222.77367246,280400
2550,802.0,2230.50906492,281500
2560,808.0,2237.99738539,282600
2570,806.0,2245.6899423,283700
2580,802.0,2253.27077032,284800
2590,804.0,2260.895205,285900
2600,804.0,2268.52923319,287000
2610,804.0,2275.98799986,288100
2620,804.0,2283.51777501,289200
2630,806.0,2291.10537267,290300
2640,810.0,2298.60118269,291400
2650,808.0,2305.91560166,292500
2660,804.0,2313.29737739,293600
2670,806.0,2320.77461947,294700
2680,810.0,2327.99984964,295800
2690,808.0,2335.40778459,296900
2700,802.0,2343.29362349,298000
2710,814.0,2351.20632365,299100
2720,808.0,2358.71237354,300200
2730,800.0,2366.21564707,301300
