steps,time,reward,delta,converged
1,0.0034190000000080545,0.0,0,False
2,0.0019919999999729043,0.0,0,False
3,0.006956000000059248,0.0,0,False
4,0.017427999999995336,0.0,0,False
5,0.02163600000005772,0.0,0,False
6,0.004856000000017957,0.0,0,False
7,0.008024000000091291,0.0,0,False
8,0.014961999999968612,0.0,0,False
9,0.0027209999999513457,0.0,0,False
10,0.006947000000081971,0.0,0,False
11,0.002284000000031483,0.0,0,False
12,0.006767999999965468,0.0,0,False
13,0.0013979999999946813,0.0,0,False
14,0.001960999999937485,0.0,0,False
15,0.00269700000001194,0.0,0,False
16,0.004595999999992273,0.0,0,False
17,0.0015689999999040083,0.0,0,False
18,0.006741000000033637,0.0,0,False
19,0.008303999999952794,0.0,0,False
20,0.00310300000001007,0.0,0,False
21,0.002529999999978827,0.0,0,False
22,0.004000000000019099,0.0,0,False
23,0.002725999999938722,0.0,0,False
24,0.0009650000000647196,0.0,0,False
25,0.0016370000000733853,0.0,0,False
26,0.007744000000002416,0.0,0,False
27,0.000849000000016531,0.0,0,False
28,0.004754000000048109,0.0,0,False
29,0.006506999999942309,0.0,0,False
30,0.0037859999999909633,0.0,0,False
31,0.006268999999974767,0.0,0,False
32,0.009038000000032298,0.0,0,False
33,0.0037419999999883657,0.0,0,False
34,0.01398699999992914,0.0,0,False
35,0.01059300000008534,0.0,0,False
36,0.004711999999926775,0.0,0,False
37,0.007159999999998945,0.0,0,False
38,0.009150999999974374,0.0,0,False
39,0.002602000000024418,0.0,0,False
40,0.003405000000043401,0.0,0,False
41,0.012263999999959196,0.0,0,False
42,0.004734999999982392,0.0,0,False
43,0.015340000000037435,0.0,0,False
44,0.004899000000023079,0.0,0,False
45,0.010514000000057422,0.0,0,False
46,0.007633999999939078,0.0,0,False
47,0.016144000000053893,0.0,0,False
48,0.009577999999919484,0.0,0,False
49,0.0012659999999868887,0.0,0,False
50,0.006093999999961852,0.0,0,False
51,0.010079000000018823,0.0,0,False
52,0.0029459999999517095,0.0,0,False
53,0.0011099999999260035,0.0,0,False
54,0.006335000000035507,0.0,0,False
55,0.02142500000002201,0.0,0,False
56,0.0019350000000031287,0.0,0,False
57,0.012215999999966698,0.0,0,False
58,0.006385000000022956,0.0,0,False
59,0.011209000000008018,0.0,0,False
60,0.020586999999977706,0.0,0,False
61,0.004172999999923377,0.0,0,False
62,0.0009230000000570726,0.0,0,False
63,0.0025450000000546424,0.0,0,False
64,0.021594000000050073,0.0,0,False
65,0.0073590000000649525,0.0,0,False
66,0.006099999999946704,0.0,0,False
67,0.001991000000089116,0.0,0,False
68,0.009779999999977917,0.0,0,False
69,0.005444000000011329,0.0,0,False
70,0.012229999999931351,0.0,0,False
71,0.002668000000085158,0.0,0,False
72,0.006441999999992731,0.0,0,False
73,0.01044200000001183,0.0,0,False
74,0.0031629999999722713,0.0,0,False
75,0.006780000000048858,0.0,0,False
76,0.0031140000000959844,0.0,0,False
77,0.02001899999993384,0.0,0,False
78,0.009056999999984328,0.0,0,False
