episode,length,time,reward,delta
167,14.0,0.0006600000001526496,86.0,2.818470122178951e-06
168,17.0,0.0008320000001731387,83.0,2.5366231142243123e-06
169,16.0,0.000749000000041633,84.0,2.2829608070651375e-06
170,12.0,0.0005720000001474546,88.0,2.054664733464051e-06
171,12.0,0.0005879999998796848,88.0,1.8491982558543896e-06
172,27.0,0.001220999999986816,73.0,1.6642784288478651e-06
173,13.0,0.0006129999999302527,87.0,1.497850590226335e-06
174,19.0,0.0008699999998498242,-18.0,1.348065538309129e-06
175,14.0,0.0006680000001324515,86.0,1.2132589830571305e-06
176,12.0,0.0005699999999251304,88.0,1.091933086172503e-06
177,12.0,0.0006140000000414148,88.0,9.827397775552527e-07
178,12.0,0.0005750000000261934,88.0,8.844658054840693e-07
179,20.0,0.000927999999930762,-118.0,7.960192220934914e-07
180,14.0,0.0006579999999303254,86.0,7.164173041473987e-07
181,19.0,0.0008660000000872969,-18.0,6.447755680483169e-07
182,16.0,0.0007410000000618311,84.0,5.802980069802288e-07
183,20.0,0.0009139999999661086,-19.0,5.222682091243769e-07
184,20.0,0.0009780000000318978,80.0,4.7004138536976825e-07
185,15.0,0.0007110000001375738,-14.0,4.2303724967496237e-07
186,14.0,0.0006599999999252759,86.0,3.8073352470746613e-07
187,20.0,0.00091999999995096,-19.0,3.426601722367195e-07
188,16.0,0.0007390000000668806,84.0,3.083941493287057e-07
189,12.0,0.0005670000000463915,88.0,2.7755473297474964e-07
190,14.0,0.0006559999999353749,86.0,2.4979925683510373e-07
191,17.0,0.0007819999998446292,-16.0,2.2481933115159336e-07
192,14.0,0.0006619999999202264,86.0,2.023374037207759e-07
193,14.0,0.0006539999999404245,86.0,1.8210366192761285e-07
194,17.0,0.0007840000000669534,-16.0,1.6389329005050968e-07
195,22.0,0.0009889999998904386,-120.0,1.4750396815088607e-07
196,26.0,0.001190999999835185,-25.0,1.32753569914712e-07
197,12.0,0.0006020000000717118,88.0,1.1947821576541173e-07
198,17.0,0.0007950000001528679,83.0,1.075303970310415e-07
199,31.0,0.0014080000000831205,-228.0,9.677735590685188e-08
200,14.0,0.000661000000036438,86.0,8.709962173725216e-08
201,12.0,0.0005699999999251304,88.0,7.838966098461242e-08
202,13.0,0.0006129999999302527,87.0,7.055069772832212e-08
203,12.0,0.0005700000001525041,88.0,6.34956336398318e-08
204,18.0,0.000835999999935666,-17.0,5.714606743367767e-08
205,14.0,0.0006559999999353749,86.0,5.143145642705349e-08
206,16.0,0.0007510000000365835,84.0,4.6288306521091727e-08
207,25.0,0.0011269999999967695,75.0,4.1659475868982554e-08
208,21.0,0.0009660000000621949,-20.0,3.7493535387511656e-08
209,14.0,0.0006550000000515865,86.0,3.3744186112016905e-08
210,14.0,0.000653000000056636,86.0,3.036976181647333e-08
211,12.0,0.0005720000001474546,88.0,2.733278847699694e-08
212,23.0,0.0010499999998501153,-22.0,2.459951531363913e-08
213,16.0,0.0007409999998344574,84.0,2.2139559519018803e-08
214,12.0,0.0005679999999301799,88.0,1.9925607830373337e-08
215,12.0,0.0005679999999301799,88.0,1.7933047047336004e-08
216,12.0,0.0005680000001575536,88.0,1.6139736658260517e-08
217,42.0,0.0018680000000586006,-239.0,1.452576725569088e-08
218,22.0,0.000998999999865191,78.0,1.3073190530121792e-08
219,14.0,0.0006550000000515865,86.0,1.1765877161451499e-08
220,12.0,0.0005799999998998828,88.0,1.0589289445306349e-08
221,27.0,0.0012830000000576547,-125.0,9.530353395348357e-09
222,12.0,0.0005779999999049323,88.0,8.57731663472805e-09
223,17.0,0.0007900000000518048,-16.0,7.719577865827887e-09
224,17.0,0.0008029999999052961,83.0,6.947615815988684e-09
225,14.0,0.0006550000000515865,86.0,6.252847128962458e-09
226,12.0,0.0005699999999251304,88.0,5.6275695214935695e-09
227,12.0,0.0005709999998089188,88.0,5.06481967477157e-09
228,16.0,0.0007550000000264845,84.0,4.558344812721771e-09
229,34.0,0.0015120000000479195,-33.0,4.102517436876951e-09
230,12.0,0.0005710000000362925,88.0,3.6922642721037846e-09
231,15.0,0.0007029999999303982,85.0,3.323037844893406e-09
232,35.0,0.001576999999997497,-232.0,2.9907312182331225e-09
233,16.0,0.0007469999998193089,84.0,2.6916637807516963e-09
234,26.0,0.0011700000000018917,-25.0,2.422495981591055e-09
