step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.029411764705882353,0.0006257822277847309,0.0,0.004244261566411307,0.029411764705882353,0.0
47,0.0,0.0006127450980392157,0.0,0.004200768750245738,0.029411764705882353,0.0
48,0.0,0.0006002400960384153,0.0,0.004158585372314231,0.029411764705882353,0.0
49,0.0,0.000588235294117647,0.0,0.00411764705882353,0.029411764705882353,0.0
50,0.0,0.0005767012687427913,0.0,0.004077893778469132,0.029411764705882353,0.0
51,0.0,0.0005656108597285067,0.0,0.00403926947315772,0.029411764705882353,0.0
52,0.0,0.0005549389567147614,0.0,0.004001721726375127,0.029411764705882353,0.0
53,0.0,0.0005446623093681917,0.0,0.003965201464749737,0.029411764705882353,0.0
54,0.0,0.0005347593582887701,0.0,0.003929662688956969,0.029411764705882353,0.0
55,0.0,0.0005252100840336134,0.0,0.0038950622306174695,0.029411764705882353,0.0
56,0.0,0.0005159958720330237,0.0,0.0038613595322744493,0.029411764705882353,0.0
57,0.0,0.0005070993914807302,0.0,0.00382851644790606,0.029411764705882353,0.0
58,0.0,0.0004985044865403788,0.0,0.0037964970617467143,0.029411764705882353,0.0
59,0.0,0.0004901960784313725,0.0,0.003765267523465004,0.029411764705882353,0.0
60,0.0,0.00048216007714561236,0.0,0.0037347958979820793,0.029411764705882353,0.0
61,0.0,0.0004743833017077799,0.0,0.0037050520284187165,0.029411764705882353,0.0
62,0.0,0.0004668534080298786,0.0,0.0036760074108365135,0.029411764705882353,0.0
63,0.0,0.00045955882352941176,0.0,0.0036476350795927267,0.029411764705882353,0.0
64,0.0,0.00045248868778280545,0.0,0.003619909502262444,0.029411764705882353,0.0
65,0.0,0.000445632798573975,0.0,0.0035928064831989965,0.029411764705882353,0.0
66,0.0,0.0004389815627743635,0.0,0.0035663030749060404,0.029411764705882353,0.0
67,0.0,0.00043252595155709344,0.0,0.003540377496484624,0.029411764705882353,0.0
68,0.0,0.00042625745950554135,0.0,0.003515009058497579,0.029411764705882353,0.0
69,0.0,0.00042016806722689073,0.0,0.003490178093663057,0.029411764705882353,0.0
70,0.0,0.00041425020712510354,0.0,0.003465865892850354,0.029411764705882353,0.0
71,0.0,0.0004084967320261438,0.0,0.003442054645905375,0.029411764705882353,0.0
72,0.0,0.00040290088638195,0.0,0.0034187273868809707,0.029411764705882353,0.0
73,0.0,0.00039745627980922096,0.0,0.0033958679432899565,0.029411764705882353,0.0
74,0.0,0.000392156862745098,0.0,0.003373460889036324,0.029411764705882353,0.0
75,0.0,0.00038699690402476777,0.0,0.0033514915007137724,0.029411764705882353,0.0
