steps,time,reward,delta,converged
1,0.0019089999999550855,0.0,0,False
2,0.011038000000098691,0.0,0,False
3,0.0009090000000924192,0.0,0,False
4,0.0022599999999783904,0.0,0,False
5,0.0012660000001005756,0.0,0,False
6,0.004712000000040462,0.0,0,False
7,0.002672999999958847,0.0,0,False
8,0.0004109999999855063,0.0,0,False
9,0.0019139999999424617,0.0,0,False
10,0.003839000000084525,0.0,0,False
11,0.0007140000000163127,0.0,0,False
12,0.0006180000000313157,0.0,0,False
13,0.0011419999999588981,0.0,0,False
14,0.0018810000000257787,0.0,0,False
15,0.0002980000000434302,0.0,0,False
16,0.0013619999999718857,0.0,0,False
17,0.0010160000000496439,0.0,0,False
18,0.002035999999975502,0.0,0,False
19,0.0049340000000484,0.0,0,False
20,0.0008419999999205174,0.0,0,False
21,0.005335999999942942,0.0,0,False
22,0.0015610000000378932,0.0,0,False
23,0.0017759999999498177,0.0,0,False
24,0.012008999999920889,0.0,0,False
25,0.002667999999971471,0.0,0,False
26,0.0031810000000405125,0.0,0,False
27,0.002646999999910804,0.0,0,False
28,0.0008219999999710126,0.0,0,False
29,0.001734999999939646,0.0,0,False
30,0.0010090000000673172,0.0,0,False
31,0.0007889999999406427,0.0,0,False
32,0.0008350000000518776,0.0,0,False
33,0.00040300000000570435,0.0,0,False
34,0.0005319999999073843,0.0,0,False
35,0.0009000000000014552,0.0,0,False
36,0.0016279999999824213,0.0,0,False
37,0.0026720000000750588,0.0,0,False
38,0.000998999999978878,0.0,0,False
39,0.00046799999995528196,0.0,0,False
40,0.0011859999999614956,0.0,0,False
41,0.0011049999999386273,0.0,0,False
42,0.0015379999999822758,0.0,0,False
43,0.0014059999999744832,0.0,0,False
44,0.0005200000000513683,0.0,0,False
45,0.0026829999999335996,0.0,0,False
46,0.0014489999999796055,0.0,0,False
47,0.00031100000001060835,0.0,0,False
48,0.0014019999999845822,0.0,0,False
49,0.0013690000000678992,0.0,0,False
50,0.0030169999999998254,0.0,0,False
51,0.0018929999999954816,0.0,0,False
52,0.0025779999999713255,0.0,0,False
53,0.003672000000051412,0.0,0,False
54,0.0015319999999974243,0.0,0,False
55,0.0029129999999213396,0.0,0,False
56,0.00045399999999062857,0.0,0,False
57,0.0016569999999092033,0.0,0,False
58,0.0016170000000101936,0.0,0,False
59,0.0024489999999559586,0.0,0,False
60,0.0011359999999740467,0.0,0,False
61,0.0014830000000074506,0.0,0,False
62,0.001513999999929183,0.0,0,False
63,0.0020480000000588916,0.0,0,False
64,0.001518000000032771,0.0,0,False
65,0.0016959999999244246,0.0,0,False
66,0.00023400000009132782,0.0,0,False
67,0.0006670000000212895,0.0,0,False
68,0.003463000000010652,0.0,0,False
69,0.0013440000000173313,0.0,0,False
70,0.002162999999995918,0.0,0,False
71,0.00622699999996712,0.0,0,False
72,0.00025399999992714584,0.0,0,False
73,0.0010980000000699874,0.0,0,False
74,0.0018209999999498905,0.0,0,False
75,0.0012309999999615684,0.0,0,False
76,0.000799000000029082,0.0,0,False
77,0.004376999999976761,0.0,0,False
78,0.0013569999999845095,0.0,0,False
79,0.00041200000009666837,0.0,0,False
80,0.0009649999999510328,0.0,0,False
81,0.0011240000000043437,0.0,0,False
82,0.0015029999999569554,0.0,0,False
83,0.0018929999999954816,0.0,0,False
84,0.0011280000001079316,0.0,0,False
85,0.0008370000000468281,0.0,0,False
86,0.0029970000000503205,0.0,0,False
87,0.00023399999997764098,0.0,0,False
88,0.0019019999999727588,0.0,0,False
89,0.0013599999999769352,0.0,0,False
90,0.0030040000000326472,0.0,0,False
91,0.0015369999999848005,0.0,0,False
92,0.002304999999978463,0.0,0,False
93,0.0012989999999035717,0.0,0,False
94,0.0007129999999051506,0.0,0,False
95,0.0033280000000104337,0.0,0,False
96,0.005587999999988824,0.0,0,False
97,0.004671999999914078,0.0,0,False
98,0.001320999999961714,0.0,0,False
99,0.001354999999989559,0.0,0,False
100,0.002723000000059983,0.0,0,False
101,0.005085000000008222,0.0,0,False
102,0.001366999999959262,0.0,0,False
103,0.0007150000000137879,0.0,0,False
104,0.0013119999999844367,0.0,0,False
105,0.0020129999999198844,0.0,0,False
106,0.0009230000000570726,0.0,0,False
107,0.0007560000000239597,0.0,0,False
108,0.0010620000000471919,0.0,0,False
109,0.0014529999999695065,0.0,0,False
110,0.0012739999999666907,0.0,0,False
111,0.0028409999999894353,0.0,0,False
112,0.0007489999999279462,0.0,0,False
113,0.0016150000000152431,0.0,0,False
114,0.004136000000016793,0.0,0,False
115,0.003907000000026528,0.0,0,False
116,0.0008749999999508873,0.0,0,False
117,0.001816000000076201,0.0,0,False
118,0.0010519999999587526,0.0,0,False
119,0.0023730000000341533,0.0,0,False
120,0.0014449999999897045,0.0,0,False
121,0.004541000000017448,0.0,0,False
122,0.0009300000000393993,0.0,0,False
123,0.0029960000000528453,0.0,0,False
124,0.0010839999999916472,0.0,0,False
125,0.0034729999999854044,0.0,0,False
126,0.0036900000000059663,0.0,0,False
127,0.0024439999999685824,0.0,0,False
128,0.001989999999977954,0.0,0,False
129,0.0038839999999709107,0.0,0,False
130,0.0007540000000290092,0.0,0,False
131,0.0005119999999578795,0.0,0,False
132,0.0010180000000445943,0.0,0,False
133,0.0016160000000127184,0.0,0,False
134,0.0005989999999655993,0.0,0,False
135,0.00217099999997572,0.0,0,False
136,0.000321999999982836,0.0,0,False
137,0.001768999999967491,0.0,0,False
138,0.0011929999999438223,0.0,0,False
139,0.0011060000000497894,0.0,0,False
140,0.0004759999999350839,0.0,0,False
141,0.001280000000065229,0.0,0,False
142,0.0012540000000171858,0.0,0,False
143,0.0010979999999563006,0.0,0,False
144,0.0012699999999767897,0.0,0,False
145,0.0032860000000027867,0.0,0,False
146,0.0010939999999663996,0.0,0,False
147,0.000749000000041633,0.0,0,False
148,0.0013480000000072323,0.0,0,False
149,0.0007650000000012369,0.0,0,False
150,0.001902999999970234,0.0,0,False
151,0.00040300000000570435,0.0,0,False
152,0.0006160000000363652,0.0,0,False
153,0.0014670000000478467,0.0,0,False
154,0.0010730000000194195,0.0,0,False
155,0.007276999999930922,0.0,0,False
156,0.0003330000000687505,0.0,0,False
157,0.0003699999999753345,0.0,0,False
158,0.0005929999999807478,0.0,0,False
159,0.0011190000000169675,0.0,0,False
160,0.00045599999998557905,0.0,0,False
161,0.0013059999999995853,0.0,0,False
162,0.0017960000000130094,0.0,0,False
163,0.0022599999999783904,0.0,0,False
164,0.0026189999999814972,0.0,0,False
165,0.001025000000026921,0.0,0,False
166,0.006135999999969499,0.0,0,False
167,0.0011100000000396903,0.0,0,False
168,0.003854999999930442,0.0,0,False
169,0.001456000000075619,0.0,0,False
170,0.0010200000000395448,0.0,0,False
171,0.0011389999999664724,0.0,0,False
172,0.0043180000000120344,0.0,0,False
173,0.002040999999962878,0.0,0,False
174,0.0015300000000024738,0.0,0,False
175,0.0024570000000494474,0.0,0,False
176,0.0005429999999932988,0.0,0,False
177,0.0032669999999370702,0.0,0,False
178,0.0011819999999715947,0.0,0,False
179,0.004291999999963991,0.0,0,False
180,0.005245999999942796,0.0,0,False
181,0.0009219999999459105,0.0,0,False
182,0.001738999999929547,0.0,0,False
183,0.0034190000000080545,0.0,0,False
184,0.0019059999999626598,0.0,0,False
185,0.0010839999999916472,0.0,0,False
186,0.00047800000004372123,0.0,0,False
187,0.0010340000000041982,0.0,0,False
188,0.0021639999999933934,0.0,0,False
189,0.0008090000000038344,0.0,0,False
190,0.0006099999999378269,0.0,0,False
191,0.0033969999999499123,0.0,0,False
192,0.004887000000053376,0.0,0,False
193,0.0006260000000111177,0.0,0,False
194,0.0022850000000289583,0.0,0,False
195,0.0008550000000013824,0.0,0,False
196,0.0023449999999911597,0.0,0,False
197,0.0034190000000080545,0.0,0,False
198,0.0010940000000800865,0.0,0,False
199,0.003480000000081418,0.0,0,False
200,0.0007079999999177744,0.0,0,True
