episode,length,time,reward,delta
0,43.0,0.0019810000000006767,0.0,-0.0002728111771114884
1,25.0,0.0011240000000043437,0.0,1.8994581097865832e-05
2,4.0,0.0002319999999826905,0.0,1.7095122988079205e-05
3,28.0,0.00130500000000211,0.0,4.1627674882189006e-05
4,7.0,0.0003569999998944695,0.0,-0.00024553005940033956
5,19.0,0.0008889999999155407,0.0,4.4198642694126935e-05
6,54.0,0.002422000000024127,0.0,3.97787784247142e-05
7,25.0,0.0011769999999842184,0.0,0.00011131639022987085
8,66.0,0.002851999999961663,0.0,-0.00020631801828503238
9,59.0,0.002612999999996646,0.0,-0.0003879805860948543
10,11.0,0.0005310000000235959,0.0,6.592882900415247e-06
11,93.0,0.004043000000024222,0.0,0.00014280603972608504
12,36.0,0.0016000000000531145,0.0,8.115357417111803e-06
13,55.0,0.002457999999933236,0.0,-0.0002771417199309281
14,5.0,0.0002690000000029613,0.0,2.0213812231338114e-05
15,83.0,0.0035819999999375796,0.0,-8.643592247227212e-05
16,87.0,0.003793999999970765,0.0,4.488313713182869e-05
17,33.0,0.001472000000035223,0.0,0.0001549308659330493
18,20.0,0.0009109999999736829,0.0,2.952300809380508e-05
19,17.0,0.0007769999999709398,0.0,2.939597587376362e-05
20,12.0,0.0005729999999175561,0.0,4.930138423740315e-05
21,18.0,0.0008220000000846994,0.0,-5.1509393951113956e-05
22,48.0,0.0021019999999225547,0.0,2.2490637139603023e-05
23,33.0,0.0014629999999442589,0.0,-8.280481307516505e-05
24,33.0,0.0014529999999695065,0.0,-0.0003491825274853688
25,11.0,0.0005260000000362197,0.0,2.6456378286387246e-05
26,40.0,0.0017910000000256332,0.0,2.408898248473779e-05
27,13.0,0.0006129999999302527,0.0,-6.802196084740417e-05
28,5.0,0.00027399999999033753,0.0,-5.498673815789389e-05
29,19.0,0.0008659999999736101,0.0,-6.121976476266373e-05
30,27.0,0.0012100000000145883,0.0,-0.0003142642747368319
31,23.0,0.0010429999999814754,0.0,-4.9488064342104545e-05
32,30.0,0.001383999999916341,0.0,3.091739626071195e-05
33,13.0,0.0006109999999353022,0.0,2.1680084236263956e-05
34,29.0,0.0013159999999743377,0.0,-4.0078078317132325e-05
35,15.0,0.000693999999953121,0.0,4.996652711229514e-05
36,89.0,0.0038880000000744985,0.0,0.0002897588511035547
37,7.0,0.00035700000000815635,0.0,3.386480272177901e-05
38,29.0,0.0012930000000324071,0.0,4.4969874401065615e-05
39,31.0,0.0013910000000123546,0.0,-0.00013525290055342956
40,11.0,0.0005260000000362197,0.0,4.6046082544372703e-05
41,27.0,0.001238000000057582,0.0,-0.00012172761049808662
42,26.0,0.001159000000029664,0.0,6.638185586627554e-05
43,58.0,0.0025610000000142463,0.0,-1.832948885964502e-05
44,20.0,0.0009090000000924192,0.0,3.649782345340217e-05
45,72.0,0.0031520000000000437,0.0,-0.0002828378472631487
46,28.0,0.0012540000000171858,0.0,3.042534907518081e-05
47,34.0,0.0014840000000049258,0.0,8.509988280337093e-05
48,59.0,0.002625999999963824,0.0,-3.6070270485419136e-05
49,13.0,0.0006090000000540385,0.0,-6.123896165113928e-05
50,27.0,0.001216999999996915,0.0,0.00011045592897306468
51,23.0,0.001029000000016822,0.0,0.00010657407254901976
52,33.0,0.0014590000000680448,0.0,-5.511506548602535e-05
53,11.0,0.0005560000000741638,0.0,1.5535740502294147e-05
54,103.0,0.0044309999999541105,0.0,0.0001285254357534766
55,41.0,0.0017870000000357322,0.0,9.591666529411779e-05
56,8.0,0.00039399999991474033,0.0,0.00010914162385843777
57,41.0,0.0018000000000029104,0.0,-0.00022493737794352048
58,39.0,0.0017040000000179134,0.0,-0.0005165007603184025
59,25.0,0.0011269999999967695,0.0,-7.873619684710051e-06
60,29.0,0.0013030000000071595,0.0,-4.960355893742277e-05
61,9.0,0.00044000000002597517,0.0,5.011699404187584e-05
62,36.0,0.001592999999957101,0.0,0.00011798857359256805
63,47.0,0.002058000000033644,0.0,-4.464320304368053e-05
64,27.0,0.0012010000000373111,0.0,0.00010088423138459289
65,13.0,0.0006109999999353022,0.0,5.3159053781070957e-05
66,12.0,0.0005850000000009459,0.0,9.919811955626094e-05
67,80.0,0.0035149999999930515,0.0,-1.751961007944152e-05
68,27.0,0.0012010000000373111,0.0,2.7825656634640743e-05
69,17.0,0.0007790000000795771,0.0,0.00011999819580963387
70,25.0,0.0011419999999588981,0.0,0.00014021486754172785
71,6.0,0.0003169999999954598,0.0,7.408948973373084e-05
72,15.0,0.000693999999953121,0.0,4.784314840296385e-05
73,43.0,0.001936000000000604,0.0,6.668054076035778e-05
74,18.0,0.0008259999999609136,0.0,0.0001220833098114181
75,51.0,0.002266999999960717,0.0,0.00011693406887599265
76,7.0,0.0003580000000056316,0.0,6.001248668432199e-05
77,25.0,0.0011209999998982312,0.0,4.3058833562667465e-05
78,21.0,0.0009919999999965512,0.0,0.0001052406619883934
79,24.0,0.0017289999999547945,0.0,4.154038544455622e-05
80,86.0,0.003776000000016211,0.0,-0.00020244364014916844
81,29.0,0.0013030000000071595,0.0,3.875295020640073e-05
82,4.0,0.00025300000004335743,0.0,0.0001599745857913846
83,17.0,0.0007820000000720029,0.0,0.0006738802143219115
84,10.0,0.0004840000000285727,0.0,7.321417627453961e-05
85,15.0,0.0006990000000541841,0.0,0.00014397712721224616
86,28.0,0.0013199999999642387,0.0,3.738634690010059e-05
87,77.0,0.0033979999999473876,0.0,2.5043090971176647e-05
88,4.0,0.00022999999998774,0.0,0.00013993479035293618
89,26.0,0.001155000000039763,0.0,-1.962822825274759e-05
90,24.0,0.001063000000044667,0.0,-1.7665405427472777e-05
91,32.0,0.0014079999999694337,0.0,0.0001527964319397502
92,29.0,0.001288000000045031,0.0,0.0005073540163345752
93,74.0,0.003187000000025364,0.0,0.00016405997641730078
94,29.0,0.0012950000000273576,0.0,0.00014765397877557066
95,5.0,0.00029200000005857873,0.0,0.00013288858089801356
96,35.0,0.0015500000000656655,0.0,-0.00014229952685266807
97,24.0,0.0010849999999891224,0.0,9.654872529250152e-05
98,23.0,0.001036999999996624,0.0,3.3560497266022166e-05
99,22.0,0.0010030000000824657,0.0,0.00012939956058637396
100,30.0,0.0013370000000350046,0.0,0.00010596154058249143
101,35.0,0.0016089999999167048,0.0,3.020444753941995e-05
102,50.0,0.0022359999999252977,0.0,-5.9061734624443426e-05
103,17.0,0.0007799999999633656,0.0,2.7184002785477987e-05
104,37.0,0.0016369999999596985,0.0,3.295936671250221e-05
105,30.0,0.0013539999999920838,0.0,2.9663430041251934e-05
106,16.0,0.0007419999999456195,0.0,0.00013751678874577514
107,11.0,0.0005239999999275824,0.0,0.00012781686305125101
108,9.0,0.0004409999999097636,0.0,0.00012568664619402837
109,54.0,0.002379999999902793,0.0,7.423406003915112e-05
110,77.0,0.0033399999999801366,0.0,-0.00025455406253683383
111,19.0,0.0008649999999761349,0.0,8.68938527632514e-05
112,16.0,0.000757000000021435,0.0,0.00012025204087184774
113,62.0,0.0026950000000169894,0.0,0.00010165787365338174
114,15.0,0.0006950000000642831,0.0,0.0003007052343411465
115,5.0,0.00028899999995246617,0.0,0.00016690924181286457
116,62.0,0.002698000000009415,0.0,-1.789065876360834e-05
117,26.0,0.0012370000000601067,0.0,0.00010822683678466294
118,13.0,0.0006260000000111177,0.0,9.74041531061966e-05
119,28.0,0.0012429999999312713,0.0,3.559137085326332e-05
120,39.0,0.0017169999999850916,0.0,0.00010390041867359132
121,8.0,0.0004089999999905558,0.0,8.7663737795577e-05
122,13.0,0.0006379999999808206,0.0,7.889736401601934e-05
123,24.0,0.0010919999999714491,0.0,0.0001237651098711976
124,16.0,0.0007420000000593063,0.0,0.00012540606703598288
125,47.0,0.002073999999993248,0.0,8.119735750191303e-05
126,27.0,0.001213000000007014,0.0,-1.6101592887247463e-05
127,32.0,0.0014360000000124273,0.0,0.00010264959708936982
128,14.0,0.0006470000000717846,0.0,0.00017685815923212738
129,23.0,0.001036999999996624,0.0,8.659277006125155e-05
130,13.0,0.0006079999999428765,0.0,7.793349305512643e-05
131,10.0,0.00048199999991993536,0.0,7.014014374961378e-05
132,10.0,0.0005030000000942891,0.0,7.419441909884978e-05
