steps,time,reward,delta,converged
1,0.0010930000000826112,0.0,0,False
2,0.00290099999983795,0.0,0,False
3,0.004529000000047745,0.0,0,False
4,0.006920999999920241,0.0,0,False
5,0.003509000000121887,0.0,0,False
6,0.007538999999951557,0.0,0,False
7,0.003864000000021406,0.0,0,False
8,0.007072999999991225,0.0,0,False
9,0.0026380000001609005,0.0,0,False
10,0.006982000000107291,0.0,0,False
11,0.01824099999998907,0.0,0,False
12,0.0031430000001364533,0.0,0,False
13,0.0049659999999676074,0.0,0,False
14,0.0045070000001032895,0.0,0,False
15,0.0014409999998861167,0.0,0,False
16,0.0024639999999180873,0.0,0,False
17,0.0013850000000275031,0.0,0,False
18,0.007021000000122513,0.0,0,False
19,0.00884900000005473,0.0,0,False
20,0.006941999999980908,0.0,0,False
21,0.007030999999869891,0.0,0,False
22,0.004030999999940832,0.0,0,False
23,0.005094999999982974,0.0,0,False
24,0.005638999999973748,0.0,0,False
25,0.009602999999970052,0.0,0,False
26,0.005539999999882639,0.0,0,False
27,0.00875199999995857,0.0,0,False
28,0.021631999999954132,0.0,0,False
29,0.008477000000084445,0.0,0,False
30,0.015895000000000437,0.0,0,False
31,0.004128000000036991,0.0,0,False
32,0.021788000000015018,0.0,0,False
33,0.00755099999992126,0.0,0,False
34,0.014805000000023938,0.0,0,False
35,0.009712000000035914,0.0,0,False
36,0.003840000000082,0.0,0,False
37,0.005675000000110231,0.0,0,False
38,0.005471999999826949,0.0,0,False
39,0.0015280000000075233,0.0,0,False
40,0.0075799999999617285,0.0,0,False
41,0.0172139999999672,0.0,0,False
42,0.004192999999986569,0.0,0,False
43,0.006427999999914391,0.0,0,False
44,0.019554999999854772,0.0,0,False
45,0.004460999999992055,0.0,0,False
46,0.008105999999997948,0.0,0,False
47,0.006992999999965832,0.0,0,False
48,0.006319000000075903,0.0,0,False
49,0.0031940000001213775,0.0,0,False
50,0.008945999999923515,0.0,0,False
51,0.006264000000101078,0.0,0,False
52,0.00240099999996346,0.0,0,False
53,0.007751000000098429,0.0,0,False
54,0.0036110000000917353,0.0,0,False
55,0.01230899999995927,0.0,0,False
56,0.002716000000191343,0.0,0,False
57,0.010208999999804291,0.0,0,False
58,0.008961999999883119,0.0,0,False
59,0.014347999999927197,0.0,0,False
60,0.0027700000000550062,0.0,0,False
61,0.004208000000062384,0.0,0,False
62,0.010035999999900014,0.0,0,False
63,0.005337999999937892,0.0,0,False
64,0.00744499999996151,0.0,0,False
65,0.005302999999912572,0.0,0,False
66,0.004447000000027401,0.0,0,False
67,0.005848000000014508,0.0,0,False
68,0.0029369999999744323,0.0,0,False
69,0.001985999999988053,0.0,0,False
70,0.02166199999987839,0.0,0,False
71,0.007035999999970954,0.0,0,False
72,0.0030719999999746506,0.0,0,False
73,0.00947600000017701,0.0,0,False
74,0.005962999999837848,0.0,0,False
75,0.0006189999999151041,0.0,0,False
76,0.008333999999877051,0.0,0,False
77,0.004850000000033106,0.0,0,False
78,0.0043719999998756975,0.0,0,False
79,0.01340200000004188,0.0,0,False
80,0.004610999999840715,0.0,0,False
81,0.0051539999999477,0.0,0,False
82,0.00419899999997142,0.0,0,False
83,0.003953000000137763,0.0,0,False
84,0.01737900000011905,0.0,0,False
85,0.015171000000009371,0.0,0,False
86,0.005817999999862877,0.0,0,False
87,0.010727000000088083,0.0,0,False
88,0.002504999999928259,0.0,0,False
89,0.004817000000002736,0.0,0,False
90,0.011897999999973763,0.0,0,False
91,0.0056059999999433785,0.0,0,False
92,0.005540999999993801,0.0,0,False
93,0.0007080000000314612,0.0,0,False
94,0.0014340000000174769,0.0,0,False
95,0.009664000000157102,0.0,0,False
96,0.01446099999998296,0.0,0,False
97,0.007767000000058033,0.0,0,False
98,0.001859999999851425,0.0,0,False
99,0.004185999999890555,0.0,0,False
100,0.005006999999977779,0.0,0,False
101,0.0214330000001155,0.0,0,False
102,0.017796000000089407,0.0,0,False
103,0.021603999999797452,0.0,0,False
104,0.00458400000002257,0.0,0,False
105,0.0014970000001994777,0.0,0,False
106,0.012343000000100801,0.0,0,False
107,0.011919999999918218,0.0,0,False
108,0.004063000000087413,0.0,0,False
109,0.002948999999944135,0.0,0,False
110,0.00713499999983469,0.0,0,False
111,0.00951300000019728,0.0,0,False
112,0.005086000000119384,0.0,0,False
113,0.005081000000018321,0.0,0,False
114,0.012572999999974854,0.0,0,False
115,0.006425999999919441,0.0,0,False
116,0.0215450000000601,0.0,0,False
117,0.0089900000000398,0.0,0,False
118,0.010419999999840002,0.0,0,False
119,0.0014779999999063875,0.0,0,False
120,0.005778999999847656,0.0,0,False
121,0.017597999999907188,0.0,0,False
122,0.004003000000011525,0.0,0,False
123,0.016233000000056563,0.0,0,False
124,0.005135999999993146,0.0,0,False
125,0.005855000000110522,0.0,0,False
126,0.003351000000066051,0.0,0,False
127,0.0037080000001878943,0.0,0,False
128,0.0020730000001094595,0.0,0,False
129,0.00822199999993245,0.0,0,False
130,0.012280000000146174,0.0,0,False
131,0.002952999999934036,0.0,0,False
132,0.003429999999980282,0.0,0,False
133,0.0028770000001259177,0.0,0,False
134,0.001978000000008251,0.0,0,False
135,0.0043100000000322325,0.0,0,False
136,0.016002999999955136,0.0,0,False
137,0.009743000000071333,0.0,0,False
138,0.008358999999927619,0.0,0,False
139,0.010806999999886102,0.0,0,False
140,0.0034389999998438725,0.0,0,False
141,0.004485000000158834,0.0,0,False
142,0.007843000000093525,0.0,0,False
143,0.01228299999979754,0.0,0,False
144,0.002736000000140848,0.0,0,False
145,0.007912000000033004,0.0,0,False
146,0.01820599999996375,0.0,0,False
147,0.0042889999999715656,0.0,0,False
148,0.0215979999998126,0.0,0,False
149,0.0025509999998121202,0.0,0,False
150,0.0014300000000275759,0.0,0,False
151,0.00867999999991298,0.0,0,False
152,0.001997999999957756,0.0,0,False
153,0.004714000000149099,0.0,0,False
154,0.006820999999945343,0.0,0,False
155,0.008677999999918029,0.0,0,False
156,0.020507999999836102,0.0,0,False
157,0.012846000000081403,0.0,0,False
158,0.003288000000111424,0.0,0,False
159,0.01854300000013609,0.0,0,False
160,0.00293599999986327,0.0,0,False
161,0.004840000000058353,0.0,0,False
162,0.00620600000002014,0.0,0,False
163,0.0023989999999685097,0.0,0,False
164,0.01379899999983536,0.0,0,False
165,0.009042000000135886,0.0,0,False
166,0.013999999999896318,0.0,0,False
167,0.007611999999880936,0.0,0,False
168,0.01692400000001726,0.0,0,False
169,0.005419999999958236,0.0,0,False
170,0.004813999999896623,0.0,0,False
171,0.005205000000159998,0.0,0,False
172,0.014335999999957494,0.0,0,False
173,0.0028600000000551518,0.0,0,False
174,0.006613999999899534,0.0,0,False
175,0.013163000000076863,0.0,0,False
176,0.01915899999994508,0.0,0,False
177,0.010622000000012122,0.0,0,False
178,0.009258999999929074,0.0,0,False
179,0.007247000000006665,0.0,0,False
180,0.0070120000000315486,0.0,0,False
181,0.021502000000054977,0.0,0,False
182,0.01061600000002727,0.0,0,False
183,0.00359600000001592,0.0,0,False
184,0.004543999999896187,0.0,0,False
185,0.0032039999998687563,0.0,0,False
186,0.008082000000058542,0.0,0,False
187,0.007423999999900843,0.0,0,False
188,0.012752999999975145,0.0,0,False
189,0.004357999999911044,0.0,0,False
190,0.0072040000000015425,0.0,0,False
191,0.002667999999857784,0.0,0,False
192,0.01020099999982449,0.0,0,False
193,0.003148999999893931,0.0,0,False
194,0.015514000000166561,0.0,0,False
195,0.019019999999954962,0.0,0,False
196,0.006729999999834035,0.0,0,False
197,0.0014389999998911662,0.0,0,False
198,0.004229000000123051,0.0,0,False
199,0.007382000000006883,0.0,0,False
200,0.009231999999883556,0.0,0,True
