episode,length,time,reward,delta
0,11.0,0.0006009999999605498,0.0,-0.00019881228775990242
1,39.0,0.0017230000000836299,0.0,-4.487143043445656e-05
2,22.0,0.0010139999999410065,0.0,-0.00016512148606407078
3,79.0,0.00344800000016221,0.0,-0.00018103595357680873
4,60.0,0.00264300000003459,0.0,0.00029198962549795745
5,31.0,0.0014139999998405983,0.0,-0.00022548889034608476
6,25.0,0.001113000000032116,0.0,-3.2432882433974515e-05
7,9.0,0.0005009999999856518,0.0,2.9198962549795756e-05
8,48.0,0.0020999999999276042,0.0,0.00017112348067073045
9,7.0,0.0003530000001319422,0.0,0.00032153922726746393
10,18.0,0.0008230000000821747,0.0,1.7112348067073002e-05
11,55.0,0.002431000000115091,0.0,3.21539227267464e-05
12,127.0,0.005540999999993801,0.0,-3.119546188195177e-05
13,43.0,0.0018999999999778083,0.0,-0.0002763283360685949
14,12.0,0.0005719999999200809,0.0,0.00024289619943244884
15,39.0,0.0017350000000533328,0.0,-1.6512148606407013e-05
16,20.0,0.0009269999998195999,0.0,2.428961994324489e-05
17,22.0,0.0009950000001026638,0.0,0.00015971746805825532
18,8.0,0.0003970000000208529,0.0,-1.6512148606407555e-06
19,8.0,0.00041200000009666837,0.0,0.0002161878016445364
20,23.0,0.0010669999999208812,0.0,2.4289619943244347e-06
21,18.0,0.0008179999999811116,0.0,2.1618780164453597e-05
22,13.0,0.0006150000001525768,0.0,0.00037396629436513594
23,48.0,0.0021050000000286673,0.0,3.741062231660817e-05
24,6.0,0.0003329999999550637,0.0,0.00043201946181794875
25,16.0,0.0007599999999001739,0.0,0.00020086682877919903
26,88.0,0.0037910000000920263,0.0,-0.00030302426537404743
27,23.0,0.001040999999986525,0.0,0.00029410482163860145
28,42.0,0.0018299999999271677,0.0,-8.82313301645368e-06
29,12.0,0.000565000000051441,0.0,0.0002599171985943697
30,40.0,0.0017739999998411804,0.0,-7.931544355773389e-05
31,38.0,0.0016579999999066786,0.0,0.0003452756335899302
32,42.0,0.001852999999982785,0.0,0.0002976387757419848
33,17.0,0.0007920000000467553,0.0,0.0004320741827695298
34,68.0,0.003040999999939231,0.0,8.833618852953807e-05
35,38.0,0.0016829999999572465,0.0,4.320741827695297e-05
36,43.0,0.0018979999999828578,0.0,0.00039559939588779374
37,8.0,0.00041600000008656934,0.0,0.00046075056595282655
