episode,length,time,reward,delta
0,31.0,0.0014710000000377477,0.0,-0.0005228894497819894
1,30.0,0.0013320000000476284,0.0,-0.00026144472489099467
2,95.0,0.004099999999993997,0.0,0.00015839227422390024
3,75.0,0.0033089999999447173,0.0,-0.0002743368532337735
4,22.0,0.001015999999935957,0.0,-0.00021492470994127582
5,15.0,0.0006940000000668078,0.0,-0.0001371684266168868
6,27.0,0.0012159999999994398,0.0,-0.00023596659033930912
7,31.0,0.0013779999999314896,0.0,-0.0001765107902301829
8,11.0,0.0005380000000059226,0.0,-8.825539511509144e-05
9,74.0,0.0032939999999825886,0.0,-0.00017358455911034533
10,7.0,0.0003600000000005821,0.0,-4.412769755754572e-05
11,47.0,0.002066000000013446,0.0,-0.00026153466333420723
12,53.0,0.002330000000029031,0.0,-3.539662285377917e-05
13,63.0,0.002742999999895801,0.0,-4.4708312663074975e-05
14,12.0,0.0005850000000009459,0.0,-2.6694706977731036e-05
15,64.0,0.0028420000001005974,0.0,-0.00018430548579581943
16,28.0,0.001262999999994463,0.0,-0.00023070734486458407
17,27.0,0.0012920000000349319,0.0,4.243567203480439e-06
18,162.0,0.007898999999952139,0.0,8.356980306212345e-05
19,19.0,0.0008840000000418513,0.0,2.1217836017402465e-06
20,23.0,0.0010529999999562278,0.0,0.00020555638133419834
21,40.0,0.001814999999965039,0.0,-0.00012168190334862833
22,11.0,0.0005390000000033979,0.0,0.0001222529798511309
23,58.0,0.0025269999999864012,0.0,7.919613711195007e-05
24,27.0,0.0012009999999236243,0.0,-0.000159350426876075
25,26.0,0.0011529999999311258,0.0,0.00011924972371092787
26,43.0,0.0019210000000384753,0.0,-0.00022672331283490253
27,14.0,0.0006529999999429492,0.0,3.3670195953910726e-05
28,11.0,0.0005249999999250576,0.0,4.4245243784446996e-05
29,6.0,0.0003100000000131331,0.0,2.2122621892223498e-05
30,52.0,0.0022510000000011132,0.0,1.1061310946111776e-05
31,30.0,0.0013350000000400541,0.0,5.530655473055888e-06
32,12.0,0.0005589999999529027,0.0,2.765327736527971e-06
33,138.0,0.005945999999994456,0.0,8.220588679069959e-05
34,22.0,0.0009880000000066502,0.0,4.606618301456237e-05
35,94.0,0.004028000000062093,0.0,-7.815458603438756e-05
36,79.0,0.003394999999954962,0.0,-0.00017408441516886166
37,21.0,0.000965999999948508,0.0,-1.4495244550869683e-05
38,15.0,0.0006959999999480715,0.0,9.227547271594848e-05
39,20.0,0.0009350000000267755,0.0,0.00011642864680046162
40,22.0,0.0009900000000016007,0.0,-7.396354009602392e-05
41,30.0,0.001330000000052678,0.0,-3.698177004801196e-05
42,18.0,0.0008329999999432403,0.0,6.805238796968376e-05
43,62.0,0.0026739999999563224,0.0,-0.00018263787513396527
44,72.0,0.003146000000015192,0.0,0.00029566366792431985
45,9.0,0.0004410000000234504,0.0,0.00012414584601742873
46,21.0,0.000998999999978878,0.0,-9.131893756698261e-05
47,32.0,0.001404999999977008,0.0,0.00010163906825264192
48,7.0,0.0003560000000106811,0.0,5.081953412632099e-05
49,62.0,0.0027290000000448345,0.0,0.000158141308359022
50,92.0,0.004017000000089865,0.0,0.00017996654680738338
51,19.0,0.0008679999999685606,0.0,0.00014943570021089703
52,30.0,0.0013410000000249056,0.0,7.9070654179511e-05
53,4.0,0.0002829999999676147,0.0,7.471785010544852e-05
54,11.0,0.0005400000000008731,0.0,3.735892505272423e-05
55,22.0,0.0009800000000268483,0.0,7.276318920489084e-05
56,24.0,0.0010859999999865977,0.0,0.00020860501400415553
57,65.0,0.002801999999974214,0.0,0.00010160487882756165
58,13.0,0.0006250000000136424,0.0,-4.565946878349133e-05
59,33.0,0.0014550000000781438,0.0,0.00015996766411976125
60,12.0,0.0005770000000211439,0.0,1.967352484956626e-05
61,9.0,0.0004360000000360742,0.0,9.83676242478313e-06
62,23.0,0.001040999999986525,0.0,0.00016391686212679276
63,10.0,0.000477000000046246,0.0,4.918381212391538e-06
64,46.0,0.0020060000000512446,0.0,0.00013039234986421963
65,28.0,0.0012460000000373839,0.0,2.459190606195769e-06
66,6.0,0.0003100000000131331,0.0,1.2295953030978845e-06
67,7.0,0.00035500000001320586,0.0,6.147976515489422e-07
68,19.0,0.0008930000000191285,0.0,3.07398825774444e-07
69,41.0,0.0017950000000155342,0.0,-0.0002309072091538826
70,6.0,0.00031300000000555883,0.0,0.00012749733479825841
71,27.0,0.001195999999936248,0.0,0.00010841159586580108
72,10.0,0.0004920000000083746,0.0,5.420579793290051e-05
73,44.0,0.0019310000000132277,0.0,0.00016950702624445035
74,6.0,0.0003370000000586515,0.0,0.0002502741562781817
75,9.0,0.00045599999998557905,0.0,2.7102898966450256e-05
76,25.0,0.0011449999999513238,0.0,0.00012340201730542553
77,53.0,0.0022950000000037107,0.0,8.475351312222518e-05
78,46.0,0.002057999999919957,0.0,-0.00012313671231741462
79,10.0,0.0004920000000083746,0.0,0.00012254830866156657
80,30.0,0.0013229999999566644,0.0,0.00013242932688764823
81,10.0,0.00047899999992750963,0.0,0.0001594833193230091
82,68.0,0.002965000000017426,0.0,-3.5016739625403856e-05
83,51.0,0.0022430000000213113,0.0,0.0002004282545584441
84,12.0,0.0005669999999327047,0.0,2.791243069730356e-05
85,23.0,0.001033000000006723,0.0,8.749422269101984e-05
86,46.0,0.002137000000061562,0.0,-1.7508369812701955e-05
87,22.0,0.000998999999978878,0.0,5.99763811219246e-05
88,39.0,0.0017569999999977881,0.0,0.00022732074924543657
89,37.0,0.001619000000005144,0.0,-4.276973215771381e-05
90,10.0,0.0004909999998972125,0.0,0.0001642364449020963
91,27.0,0.0012509999999110732,0.0,0.0001402829844485955
92,29.0,0.001291999999921245,0.0,6.621466344382406e-05
93,14.0,0.0006620000000339132,0.0,0.00010564759275810795
94,85.0,0.00368500000001859,0.0,-0.00016778799278173385
95,23.0,0.0010559999999486536,0.0,0.00010822241336377506
96,39.0,0.0017290000000684813,0.0,0.00013902248267400204
97,13.0,0.0006170000000338405,0.0,0.00016683726862800995
98,46.0,0.0020309999999881256,0.0,3.3107331721912085e-05
99,91.0,0.003960000000006403,0.0,6.566422992397439e-05
100,61.0,0.0026620000001003064,0.0,1.655366586095599e-05
101,16.0,0.0007499999999254214,0.0,-0.000150682836245361
102,11.0,0.0005619999999453285,0.0,6.951124133700102e-05
103,6.0,0.00031599999999798456,0.0,6.97970303419164e-05
104,51.0,0.002219999999965694,0.0,-0.00013023131976236705
105,31.0,0.0013649999999643114,0.0,-6.511565988118347e-05
106,34.0,0.001506000000063068,0.0,6.389644639837836e-05
107,10.0,0.0004910000000108994,0.0,0.00016775954608917872
108,17.0,0.000835999999935666,0.0,3.4755620668500565e-05
109,42.0,0.0019090000000687724,0.0,0.0001646931167472082
110,9.0,0.0004480000000057771,0.0,8.27683293047794e-06
111,8.0,0.0004000000000132786,0.0,0.00013916882621144817
112,23.0,0.0010480000000825385,0.0,9.447647372272708e-05
113,6.0,0.0003260000000864238,0.0,0.00015497769100456096
114,16.0,0.0007589999999026986,0.0,6.958441310572408e-05
115,24.0,0.0010759999998981584,0.0,9.947471562176693e-05
116,4.0,0.00022799999999278953,0.0,7.748884550228051e-05
117,37.0,0.0016399999999521242,0.0,9.316620732042921e-05
118,67.0,0.0030049999999164356,0.0,-3.3197582379295505e-05
119,41.0,0.0017950000000155342,0.0,0.00024558662812783653
120,8.0,0.00039800000001832814,0.0,0.00016861154058073603
121,50.0,0.002229000000056658,0.0,-0.00023586425995596248
122,9.0,0.0004410000000234504,0.0,4.658310366021463e-05
123,11.0,0.0005260000000362197,0.0,0.00016590544564695298
124,25.0,0.0011549999999260763,0.0,0.0001705383018899664
125,11.0,0.0005319999999073843,0.0,0.00016461504502052182
126,9.0,0.00044400000001587614,0.0,0.00013487565197817372
127,21.0,0.0009780000000318978,0.0,-3.2557829940591736e-05
128,23.0,0.0010459999999739011,0.0,8.230752251026091e-05
129,32.0,0.001400999999987107,0.0,-7.985619167852798e-05
130,12.0,0.0005720000000337677,0.0,4.115376125513048e-05
131,18.0,0.000839999999925567,0.0,7.024857147909969e-05
132,20.0,0.0009529999999813299,0.0,8.295272282347649e-05
133,17.0,0.0007869999999456923,0.0,-3.112913934188045e-05
134,17.0,0.0007940000000417058,0.0,-3.992809583926399e-05
135,17.0,0.0007840000000669534,0.0,0.000138313670474241
136,41.0,0.0017950000000155342,0.0,0.00012269078727449056
137,9.0,0.0004339999999274369,0.0,0.00021909586013102813
138,19.0,0.0008670000000847722,0.0,0.00011446263403796906
139,19.0,0.000853000000006432,0.0,-1.9964047919631995e-05
140,14.0,0.0007379999999557185,0.0,0.00010771385853900264
141,12.0,0.000565000000051441,0.0,-1.6278914970295922e-05
142,7.0,0.0003540000000157306,0.0,0.00023433633042165025
143,13.0,0.0006280000000060681,0.0,0.00011716816521082512
144,14.0,0.0006580000000440123,0.0,-2.6488589517481673e-05
145,51.0,0.0022379999999202482,0.0,0.00015513075412647347
146,20.0,0.0009130000000823202,0.0,3.5124285739549844e-05
147,18.0,0.0008229999999684878,0.0,0.00010645447581417796
148,15.0,0.0007010000000491345,0.0,9.429831429101388e-05
149,6.0,0.00034800000003087916,0.0,0.00019750058126355753
150,36.0,0.00164299999994455,0.0,0.00020114016948985644
151,6.0,0.00031300000000555883,0.0,4.714915714550691e-05
152,11.0,0.0005249999999250576,0.0,-1.849088502400598e-05
153,15.0,0.0006849999999758438,0.0,-5.848751048818728e-05
154,56.0,0.002472000000011576,0.0,-0.00013427573232582227
155,8.0,0.00040100000001075387,0.0,9.875029063177878e-05
156,24.0,0.0010819999999966967,0.0,0.00015663282253047003
157,28.0,0.0012980000000197833,0.0,-0.00030059167879614143
158,16.0,0.0007350000000769796,0.0,0.00013820949368467
159,7.0,0.000371999999970285,0.0,0.00010549340864500554
160,40.0,0.0017530000000078871,0.0,0.00010057008474492822
