,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.905952787399292,0.5932133867743605,0.019176149368286134,0.00023337657631684872,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6891008789588277,0.5,0.5,0.6984996367541615,0.7067218267371338,0.6188532650026273,0.09721398402738386,360,0.6842506514701445,0.5,0.5,0.7069314893886055,0.7074967989318677,0.6197357879581236,0.09812295434297474
1,3.8022577285766603,0.40446142670576823,0.019388628005981446,0.0001746275329775839,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7164952536433821,0.6837144207455546,0.7132197491801701,0.670767133095381,0.6839097433357396,0.6936231149123055,0.018011929537342822,321,0.7071327824370237,0.7043838043237156,0.6990893847014905,0.6764063711321152,0.6926099077252883,0.6959244500639267,0.01094665059679466
2,3.1714313983917237,0.25266069475012615,0.01974620819091797,0.0002834505775267003,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6896441429848812,0.6946214098392234,0.7112757612932867,0.6661344325468271,0.6573283152686517,0.6838039104637097,0.01959016763147563,326,0.684530323038307,0.709840225657616,0.6987061514846061,0.679422677248928,0.6573670884010608,0.6859732931661037,0.01786092847674549
3,3.0744909763336183,0.5338390868556294,0.019710826873779296,0.0002902764128408351,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7056519457772767,0.7031240378740153,0.7258894188640637,0.7155666635080074,0.7161906355219962,0.7132841851707064,0.008173957011035926,315,0.721988387933167,0.7001282835064341,0.7096000488448364,0.7273393268128563,0.7185985364496758,0.715530916709394,0.009622516072838105
4,3.07271785736084,0.21536234192229847,0.019862556457519533,7.782642719828626e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.7000462873054893,0.7300883011269472,0.7375061115558271,0.7105928277372418,0.7294756851318098,0.7215416267645884,0.01394890421655036,292,0.7203302745422682,0.7216168608268655,0.7234765940802256,0.7242862186191757,0.7370726322392135,0.7253565160615497,0.0060198861558003495
5,3.799399423599243,1.036757635580551,0.020040082931518554,0.00035531502205800867,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.7518143886944242,0.7598446704338586,0.775101061055561,0.7632447855796668,0.7381348765155626,0.7576294205366657,0.012292074775430371,105,0.75955083711277,0.7506322122350917,0.7653295590134567,0.7782572951480334,0.7467206321818436,0.7600981071382391,0.01118913495230953
6,3.80029411315918,1.0645547382320388,0.01985445022583008,0.00040990650034962564,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.7388535484390467,0.7481054834799843,0.773034578906567,0.7366901986796804,0.7461059062814507,0.7485586790216063,0.01296471063981827,251,0.744388009968111,0.7467118251065288,0.7711548009811481,0.7433580024602605,0.7569198632281058,0.7525065003488309,0.010492092729481659
7,4.3520087718963625,0.9988760663826297,0.019643545150756836,0.00013669466786864638,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.7576430630354684,0.7629224210023846,0.7670834103034121,0.73895364140792,0.7379903678450422,0.7529205033831601,0.012172657603549915,200,0.7613603402106693,0.7591376846237908,0.765616831738456,0.7575714844149783,0.745837312052793,0.7579047306081375,0.006613192281934837
8,3.224401092529297,0.25616782751758865,0.019477033615112306,0.00011717913952945934,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7662226611490304,0.7538275838658084,0.7717596386274537,0.752487181107005,0.7461391024391272,0.7580885275897702,0.009437923321032759,93,0.7756919676930433,0.7438186635777672,0.761115392108966,0.7672449522710624,0.7573958292625063,0.7610533609826688,0.010611699108876767
9,3.2414273738861086,0.5448016912990215,0.01959881782531738,0.00011586795613298933,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7563208881268193,0.7511579720739396,0.7682611182949851,0.7721287785463851,0.7720643794689668,0.7639855612415145,0.008638979929624554,13,0.7756435308841091,0.7536877703408189,0.760334817467432,0.7792429475531908,0.7872752722536244,0.771236867699835,0.012390092276129512
10,3.252062749862671,0.5418095685223738,0.019638442993164064,0.00020098624563066032,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.7563208881268193,0.7511579720739396,0.7682611182949851,0.7721287785463851,0.7720643794689668,0.7639855612415145,0.008638979929624554,13,0.7756435308841091,0.7536877703408189,0.760334817467432,0.7792429475531908,0.7872752722536244,0.771236867699835,0.012390092276129512
