,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2285229206085205,0.025751840072461618,0.005295324325561524,7.296387624590566e-06,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.4594086021505375,0.5938172043010752,0.5768241167434718,0.578448275862069,0.6471264367816091,0.5705646648803977,0.061504972433156176,243,0.4561554684663376,0.582868519492329,0.6045829797566392,0.6304574770894126,0.6164250336280054,0.5780978956865448,0.06293595054262564
1,0.19084477424621582,0.017732310294319598,0.005404996871948242,4.569667594968059e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.5137288786482334,0.5886712749615975,0.6430107526881722,0.5112068965517241,0.5589080459770115,0.5632615510691845,0.049455839279348636,248,0.5060337954670975,0.5490376998971557,0.6641881879100551,0.5916791546686648,0.5567658090825296,0.5735409294051005,0.05288657058432716
2,0.1871041774749756,0.017145121414084485,0.005359363555908203,7.161522650745956e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.5913402457757296,0.49193548387096775,0.3821428571428573,0.5002873563218392,0.5519476372924648,0.5034250577249744,0.07080632570950005,321,0.5626781446769321,0.48081222056631884,0.4012332004135284,0.4992155079825894,0.5882803916248627,0.5064438930528462,0.06578453554609044
3,0.20730967521667482,0.020591290474377712,0.005378055572509766,2.700111197503164e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6876344086021504,0.6692972350230415,0.5612903225806454,0.2832307060755337,0.5812260536398467,0.5577458791472626,0.1447281355260906,252,0.678637677608351,0.6356199874885621,0.5812031119755489,0.3263698760029639,0.5725553966088636,0.5588772099368579,0.12245588801586298
4,0.22658443450927734,0.049262496627758626,0.005327367782592773,5.1502960498803095e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6497311827956989,0.6631720430107527,0.6282258064516131,0.5177955665024631,0.5592911877394636,0.6043363464916928,0.05578394399597262,164,0.6667597814886203,0.6707508071933794,0.6288205056960267,0.5008077925616793,0.5325559902089585,0.5999389754297327,0.07025800530144283
5,0.1896146774291992,0.029822680034107266,0.005326557159423828,4.164931694843242e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.5409562211981567,0.41090629800307227,0.5367895545314904,0.6511083743842364,0.6938378033205619,0.5654836558809724,0.0990353898783133,245,0.6032207591479105,0.40412167866763826,0.4466715604184346,0.6725939119393503,0.6867898848863816,0.562679559011943,0.11638434949212446
6,0.23252468109130858,0.031945688220914224,0.005289459228515625,2.98854051262743e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.632200460829493,0.613325652841782,0.6120967741935487,0.7278530377668307,0.4196998722860792,0.6015990546849488,0.09936543080191033,170,0.7119330275004829,0.6404131019112453,0.6795690870086536,0.7200129033101726,0.4139376987300318,0.6331731636921172,0.11314896731919076
7,0.24686145782470703,0.033514254847881585,0.005314254760742187,2.809643338262598e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.6403225806451611,0.6647849462365591,0.7094086021505379,0.6772988505747126,0.6272349936143039,0.663911742665914,0.028775708784184305,58,0.7097565357719693,0.6496433025835132,0.7438630976071932,0.6928257351764421,0.6169556162128986,0.6826088574704032,0.04470019878832233
8,0.25229825973510744,0.024074326351141834,0.0053234100341796875,4.840965810722385e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.6380568356374807,0.6641897081413212,0.6671466973886331,0.6603448275862069,0.6846424010217113,0.6627346378189329,0.014931840862450405,59,0.7322912225947158,0.6618077812380522,0.7039614983140963,0.6813867571299893,0.6842444219791074,0.6927383362511922,0.023866689533411378
9,0.2547443389892578,0.03963524128484651,0.005331611633300782,3.7435391725576255e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.6472542242703532,0.6973118279569893,0.6180107526881723,0.7117610837438424,0.6863665389527458,0.6719354242461514,0.03453701801711742,40,0.7184073547552038,0.7177635234797578,0.7271223362846037,0.8163131106100977,0.654725207256033,0.7268663064771392,0.05169051951803753
10,0.22123022079467775,0.03524719691484857,0.005327033996582031,4.5712098066462285e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.5392281105990783,0.40654761904761905,0.684677419354839,0.5811986863711,0.7030970625798212,0.5819750101782221,0.10771967601438263,225,0.5829087878773396,0.47935086763422907,0.710322749812886,0.7015402333275185,0.7678591203574594,0.6483963518018866,0.10372608228544916
