,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0512270450592041,0.0015942212556696424,0.0007847309112548828,7.937011434935813e-06,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.3217165898617511,0.29838709677419356,0.36666666666666686,0.28571428571428575,0.4106002554278416,0.33632428511460777,0.045905226581806347,174,0.3311549254172204,0.3094262295081966,0.3771186440677967,0.27477477477477474,0.36830357142857145,0.332155629039312,0.03778501265407056
1,0.05373387336730957,0.01728603781102327,0.0007903099060058594,7.383127044197496e-06,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.29247311827956984,0.24543010752688174,0.24166666666666678,0.1600574712643678,0.2784482758620689,0.24380649420276782,0.045857195561105624,372,0.25311668300882467,0.22958397534668717,0.2614615170880801,0.19166045066567208,0.28851540616246496,0.24486760645434574,0.03259793355547951
2,0.05057559013366699,0.0068970803519033405,0.0007947921752929687,4.575152517818826e-06,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.2983870967741935,0.29291474654377875,0.2500000000000001,0.25892857142857145,0.39351851851851843,0.298393601695013,0.05057397301190061,274,0.33189947161631206,0.31369226562967234,0.25000000000000006,0.2549439683586025,0.36212092543934815,0.30253132620878703,0.043731159898426214
3,0.056575870513916014,0.00975458147442708,0.0007933616638183594,4.0533963274676155e-06,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.24999999999999997,0.3548387096774194,0.3188172043010754,0.36666666666666664,0.2916666666666666,0.31630612467306013,0.04258654375440154,248,0.24999999999999994,0.3355236417829562,0.33662128368991395,0.35477475676396114,0.2863687858190057,0.31265769361116735,0.038698954728646776
4,0.11109037399291992,0.015576758694095668,0.0007997035980224609,8.959464402433811e-06,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.2712365591397849,0.3795890937019969,0.3336021505376346,0.4065476190476191,0.3953703703703703,0.35680197406507885,0.04978020653928399,167,0.32644714211247833,0.4091767858439155,0.3330439010836344,0.38788178422324765,0.3894817073170732,0.36920626411606977,0.03314685586922106
5,0.1283212661743164,0.015381917129339258,0.0007988452911376953,9.398168862213421e-06,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.48790322580645157,0.41747311827956984,0.2846774193548388,0.3083333333333333,0.3499999999999999,0.37026482127288574,0.07461818109113597,158,0.4503055080551353,0.40314544444163775,0.29185190330647404,0.30447820871651343,0.3433976549436248,0.35863574389267705,0.06001629518585577
6,0.08298773765563965,0.01984904180197428,0.0007997512817382813,7.5071192341243315e-06,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.24999999999999997,0.43461981566820274,0.2500000000000001,0.3392857142857143,0.36481481481481476,0.3275664273144112,0.0710707115035899,216,0.24999999999999994,0.3672287990469808,0.25000000000000006,0.364975631369074,0.3715968969555035,0.32076026547431163,0.05781473278316977
7,0.16213598251342773,0.049653243445006,0.0008028507232666016,1.0497567601131076e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.43897849462365585,0.3448924731182796,0.4623847926267284,0.374384236453202,0.7176883780332056,0.46645796278461044,0.13112934959579406,108,0.43730179870900765,0.39203124605319645,0.5171503470683799,0.3780088464273614,0.7012187421949988,0.48514219609058884,0.11844788115790422
8,0.14484004974365233,0.009768869734090403,0.0008035182952880859,1.2029534571174839e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.2764016897081413,0.2833333333333333,0.4321236559139787,0.26007799671592774,0.29482758620689653,0.30949331661233775,0.06251652235731009,262,0.30782324419445833,0.3115101417060294,0.4945483480145887,0.3139724578031608,0.31147092983534874,0.3478650243107172,0.07336791570440772
9,0.15360279083251954,0.03715367052679794,0.0008162498474121094,9.091973022625036e-06,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.24999999999999997,0.24166666666666667,0.27500000000000013,0.24999999999999994,0.24999999999999994,0.2533361486486487,0.011339318088696676,323,0.24999999999999994,0.25175094551057564,0.3106418449569326,0.25,0.25,0.2624785580935016,0.024091189715317835
10,0.2580090045928955,0.05720959772987427,0.0008131980895996094,6.451238451113801e-06,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.5711405529953917,0.34130184331797236,0.6633640552995392,0.7028735632183908,0.7364303959131545,0.6015127414877137,0.142401506959249,19,0.6295087764908927,0.29972058157602116,0.6911075774301672,0.7586012457005236,0.7513780727204915,0.6260632507836192,0.16971287429980406
