,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8470689296722412,0.0013465051044553031,0.004902505874633789,3.339617130506316e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.96485045912562e-17,225,0.5000000000000001,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
1,0.8531798839569091,0.0008395644152837148,0.0050240039825439455,7.651377835499122e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.96485045912562e-17,225,0.5000000000000001,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
2,0.8617044925689697,0.0028641265986443488,0.004946088790893555,6.786711223591012e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.96485045912562e-17,225,0.5000000000000001,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
3,0.8840794086456298,0.013248114606333568,0.004977703094482422,6.947224479265697e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.96485045912562e-17,225,0.5000000000000001,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.9007387638092041,0.0032134331493836278,0.005074119567871094,8.655344455050067e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.96485045912562e-17,225,0.5000000000000001,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
5,1.3123003482818603,0.796587294740963,0.005109262466430664,6.847245446129419e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.5,0.5,0.5000000000000001,0.668765972357612,0.5337428280113039,0.06749861285406489,217,0.5000000000000001,0.5,0.5,0.5,0.6665132252700627,0.5333026450540126,0.06660529010802509
6,3.124835729598999,0.6191105402005803,0.0052165985107421875,4.82942123923151e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.7172746908171144,0.7083056372622545,0.7103627777435689,0.7010518336018196,0.6688319694806119,0.7011682240227717,0.016972203747468405,123,0.726642829636259,0.6986568920396506,0.7014557959330915,0.7106782928765211,0.660824355473764,0.6996516331918572,0.021734368716189452
7,1.4849372863769532,1.0782823251406515,0.005158042907714844,5.6265289480742346e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.5,0.5,0.5,0.5000000000000001,0.6468982669498,0.5293706301548894,0.05875253827096739,222,0.5000000000000001,0.5,0.5,0.5,0.6415711609518505,0.5283142321903701,0.05662846438074019
8,3.4613579750061034,0.886663793617845,0.006522846221923828,0.002493894539382489,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6968806461171029,0.6728936118255514,0.716160137761968,0.6602848584394118,0.692511895289834,0.6877470165680934,0.019433474243584162,142,0.698732237272842,0.66601882434717,0.7061739672487539,0.6636083789823585,0.6976280696996647,0.6864322955101578,0.017910938002753642
9,3.350378084182739,0.5896945499091287,0.0052677631378173825,6.008632579835354e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.6974239101431564,0.7086418057259423,0.7032591631234115,0.704804057824526,0.6969920592683145,0.7022245451464002,0.004457132720741561,113,0.7096832996101924,0.7002555617516499,0.6889556852885466,0.7174260038473881,0.7016903110171087,0.7036021723029771,0.00956507214313986
10,3.247958707809448,0.48305362987566863,0.005314397811889649,5.1421178192223124e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.6974239101431564,0.7086418057259423,0.7032591631234115,0.704804057824526,0.6969920592683145,0.7022245451464002,0.004457132720741561,113,0.7096832996101924,0.7002555617516499,0.6889556852885466,0.7174260038473881,0.7016903110171087,0.7036021723029771,0.00956507214313986
11,3.246948719024658,0.4840569430772111,0.00531463623046875,7.642665883561671e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.6974239101431564,0.7086418057259423,0.7032591631234115,0.704804057824526,0.6969920592683145,0.7022245451464002,0.004457132720741561,113,0.7096832996101924,0.7002555617516499,0.6889556852885466,0.7174260038473881,0.7016903110171087,0.7036021723029771,0.00956507214313986
